Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,none-PCA,arc segments,16.0,0.44954385179380985,0.05917159763313609,0.35294117647058826
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-HS4,arc labels,,0.44651032629988247,0.05099150141643059,0.21176470588235294
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-HSsrc,arc segments,,0.44123243969328935,0.046296296296296294,0.17647058823529413
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-PCA,arc segments,64.0,0.4213801981306319,0.038348082595870206,0.15294117647058825
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-HS4,arc labels,,0.4643700677226171,0.05343511450381679,0.16470588235294117
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-HSsrc,arc labels,,0.4993619522023843,0.07446808510638298,0.24705882352941178
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-PCA,arc labels,32.0,0.48331001287289416,0.056338028169014086,0.09411764705882353
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-HS4,arc labels,,0.4706833827727095,0.05405405405405406,0.1411764705882353
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-HSsrc,arc labels,,0.4939553366541669,0.07142857142857142,0.23529411764705882
Left,contig,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-PCA,arc labels,8.0,0.49992724016342976,0.07479224376731301,0.3176470588235294
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,TargetOnly,arc labels,,0.49373705714445626,0.07048458149779736,0.18823529411764706
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,Source+Target,arc labels,,0.5037667207701348,0.08080808080808081,0.09411764705882353
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,COT,arc labels,,0.4728661778698159,0.06914893617021277,0.611764705882353
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,none-HS4,arc labels,,0.4728549840488051,0.06550218340611354,0.35294117647058826
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,none-HSsrc,nothing,,0.45502882408910283,0.05084745762711865,0.17647058823529413
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,none-PCA,arc segments,16.0,0.44954385179380985,0.05917159763313609,0.35294117647058826
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-HS4,arc labels,,0.4535568366261823,0.046511627906976744,0.1411764705882353
Left,contig,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-HSsrc,arc segments,,0.44040969384899536,0.043478260869565216,0.15294117647058825
