Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-HSsrc,arc labels,,0.47632575757575757,0.06398537477148081,0.4375
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-PCA,arc labels,32.0,0.5076704545454546,0.08695652173913043,0.075
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-HS4,arc labels,,0.5043560606060606,0.2,0.0125
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-HSsrc,arc labels,,0.46960227272727273,0.062157221206581355,0.425
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-PCA,arc labels,32.0,0.4589015151515151,0.04526748971193416,0.1375
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,TargetOnly,arc labels,,0.5330492424242425,0.10852713178294573,0.175
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,Source+Target,arc labels,,0.5112689393939394,0.12121212121212122,0.05
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,COT,arc labels,,0.4106060606060606,0.056910569105691054,0.7
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,none-HS4,arc labels,,0.5,0.07042253521126761,0.0625
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,none-PCA,arc segments,32.0,0.5196022727272727,0.07894736842105263,0.3375
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-HS4,arc labels,,0.5323863636363636,0.09826589595375723,0.2125
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-HSsrc,arc segments,,0.48806818181818185,0.058823529411764705,0.1125
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-PCA,arc segments,32.0,0.5454545454545454,0.10638297872340426,0.25
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-HS4,arc labels,,0.6807765151515152,0.22674418604651161,0.4875
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-HSsrc,arc labels,,0.4881628787878788,0.052083333333333336,0.0625
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-PCA,arc labels,64.0,0.48295454545454547,0.0625,0.25
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-HS4,arc labels,,0.6387310606060606,0.11990407673860912,0.625
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-HSsrc,arc labels,,0.4564393939393939,0.03067484662576687,0.0625
Right,contig,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-PCA,arc labels,64.0,0.415625,0.046242774566473986,0.3
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,TargetOnly,arc labels,,0.5306818181818181,0.1044776119402985,0.175
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,Source+Target,arc labels,,0.5060606060606061,0.09090909090909091,0.05
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,COT,arc labels,,0.471969696969697,0.06432748538011696,0.55
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,none-HS4,arc labels,,0.5102272727272728,0.08695652173913043,0.1
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,none-PCA,arc segments,32.0,0.5196022727272727,0.07894736842105263,0.3375
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-HS4,arc labels,,0.5015151515151515,0.07317073170731707,0.075
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-HSsrc,arc segments,,0.4952651515151515,0.06172839506172839,0.0625
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-PCA,arc segments,32.0,0.4946022727272727,0.064,0.1
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-HS4,arc labels,,0.6309659090909091,0.23140495867768596,0.35
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-HSsrc,arc labels,,0.48323863636363634,0.038461538461538464,0.0375
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-PCA,arc labels,64.0,0.4884469696969697,0.06428571428571428,0.225
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-HS4,arc labels,,0.5154356060606061,0.08071748878923767,0.225
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-HSsrc,arc labels,,0.4595643939393939,0.04814814814814815,0.1625
Right,contig,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-PCA,arc labels,32.0,0.43693181818181814,0.04714640198511166,0.2375
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,TargetOnly,arc labels,,0.4096868324420926,0.00881057268722467,0.029850746268656716
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,Source+Target,arc labels,,0.4943663348365749,0.034482758620689655,0.014925373134328358
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,COT,arc labels,,0.46071792580595616,0.04814004376367615,0.3283582089552239
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,none-HS4,arc labels,,0.49434539184340226,0.043478260869565216,0.029850746268656716
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-HS4,arc labels,,0.6413302989263225,0.10432569974554708,0.6119402985074627
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-HSsrc,arc segments,,0.508998506066487,0.06319702602230483,0.2537313432835821
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-PCA,arc segments,32.0,0.6125476453094676,0.08054711246200608,0.7910447761194029
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-HS4,arc labels,,0.44619046954190694,0.007575757575757576,0.014925373134328358
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-HSsrc,arc labels,,0.4708403725060386,0.05253940455341506,0.44776119402985076
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-PCA,arc labels,64.0,0.5176898482331095,0.13333333333333333,0.05970149253731343
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-HS4,arc labels,,0.47939907571590135,0.01639344262295082,0.014925373134328358
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-HSsrc,arc labels,,0.40603577063233875,0.037037037037037035,0.29850746268656714
Right,contig,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-PCA,arc labels,32.0,0.40118397721402344,0.019169329073482427,0.08955223880597014
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,TargetOnly,arc labels,,0.4704913226198288,0.020618556701030927,0.029850746268656716
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,Source+Target,arc labels,,0.4990436033117853,0.05263157894736842,0.014925373134328358
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,COT,arc labels,,0.436263490778102,0.025210084033613446,0.08955223880597014
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,none-HS4,arc labels,,0.49434539184340226,0.043478260869565216,0.029850746268656716
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,none-PCA,arc segments,64.0,0.5387235943761083,0.072,0.40298507462686567
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-HS4,arc labels,,0.6590410901526046,0.10837438423645321,0.6567164179104478
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-HSsrc,arc segments,,0.5080630523714449,0.06273062730627306,0.2537313432835821
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-PCA,arc segments,64.0,0.640164472306382,0.08934707903780069,0.7761194029850746
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-HS4,arc labels,,0.44619046954190694,0.007575757575757576,0.014925373134328358
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-HSsrc,arc labels,,0.4717967691942532,0.05253623188405797,0.43283582089552236
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-PCA,arc labels,32.0,0.49015679320888544,0.02631578947368421,0.014925373134328358
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-HS4,arc labels,,0.47939907571590135,0.01639344262295082,0.014925373134328358
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-HSsrc,arc labels,,0.4093098585649861,0.0375234521575985,0.29850746268656714
Right,contig,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-PCA,arc labels,32.0,0.42593161414629377,0.027210884353741496,0.11940298507462686
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,TargetOnly,arc labels,,0.47088225849238374,0.0521415270018622,0.417910447761194
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,Source+Target,arc labels,,0.5125657959035506,0.125,0.04477611940298507
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,COT,arc labels,,0.39428675146251907,0.0455005055611729,0.6716417910447762
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,none-HS4,arc labels,,0.49993717102048224,0.058823529411764705,0.04477611940298507
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,none-PCA,arc segments,64.0,0.5387235943761083,0.072,0.40298507462686567
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTu-HS4,arc labels,,0.6344400541725423,0.11437908496732026,0.5223880597014925
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTu-HSsrc,arc segments,,0.5230303114921184,0.07112970711297072,0.2537313432835821
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTu-PCA,arc segments,32.0,0.6292950588498107,0.11041009463722397,0.5223880597014925
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTc-HS4,arc labels,,0.5886935760858942,0.07475317348377997,0.7910447761194029
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTc-HSsrc,arc labels,,0.5300322522094858,0.06514657980456026,0.5970149253731343
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,QOTc-PCA,arc labels,64.0,0.4337782555882887,0.03591160220994475,0.19402985074626866
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,SDM-HS4,arc labels,,0.5051799003113525,0.05988857938718663,0.6417910447761194
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,SDM-HSsrc,arc labels,,0.5374949387766499,0.06666666666666667,0.6119402985074627
Right,contig,HTL,PTT,1,0.2,1,1136,67,454,19,SDM-PCA,arc labels,32.0,0.4970749619535624,0.058212058212058215,0.417910447761194
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,TargetOnly,arc labels,,0.5069391117378496,0.06103286384976526,0.3880597014925373
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,Source+Target,arc labels,,0.5326152213674378,0.1875,0.08955223880597014
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,COT,arc labels,,0.41830836463147314,0.046134663341645885,0.5522388059701493
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,none-HS4,arc labels,,0.5050612233500412,0.07017543859649122,0.05970149253731343
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTu-HS4,arc labels,,0.5576630412018485,0.10810810810810811,0.23880597014925373
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTu-HSsrc,arc segments,,0.5031484299736119,0.06315789473684211,0.08955223880597014
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTu-PCA,arc segments,64.0,0.6476411208689946,0.15544041450777202,0.44776119402985076
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTc-HS4,arc labels,,0.6556622872540944,0.09839357429718876,0.7313432835820896
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTc-HSsrc,arc labels,,0.4844602990659425,0.0423728813559322,0.07462686567164178
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,QOTc-PCA,arc labels,64.0,0.4159627493961437,0.03456221198156682,0.22388059701492538
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,SDM-HS4,arc labels,,0.6667830166287365,0.09660107334525939,0.8059701492537313
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,SDM-HSsrc,arc labels,,0.45210337461429984,0.03529411764705882,0.13432835820895522
Right,contig,HTL,PTT,1,0.3,1,1136,67,682,36,SDM-PCA,arc labels,64.0,0.37253396255392823,0.04004711425206125,0.5074626865671642
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,TargetOnly,arc labels,,0.5622146517180235,0.09166666666666666,0.3283582089552239
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,Source+Target,arc labels,,0.5097594348184242,0.1,0.04477611940298507
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,COT,arc labels,,0.3943914664283819,0.04424778761061947,0.5970149253731343
Right,contig,HTL,PTT,1,0.5,1,1136,67,1112,54,none-HS4,arc labels,,0.5097175488320791,0.078125,0.07462686567164178
