Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Amp,Right,HTL,PTT,0,0.2,srcperm,SDM-PCA,0.4617424242424243
Amp,Right,HTL,PTT,0,0.2,srcperm,COT-u,0.5586174242424242
Amp,Right,HTL,PTT,0,0.2,srcperm,SDMu-HS4,0.4837121212121212
Amp,Right,HTL,PTT,0,0.2,srcperm,SDMu-HSsrc,0.5904356060606061
Amp,Right,HTL,PTT,0,0.2,srcperm,SDMu-PCA,0.5441287878787879
Amp,Right,HTL,PTT,0,0.2,arcperm,NoAdapt,0.4975378787878788
Amp,Right,HTL,PTT,0,0.2,arcperm,TargetOnly,0.4453598484848485
Amp,Right,HTL,PTT,0,0.2,arcperm,Source+Target,0.5267045454545455
Amp,Right,HTL,PTT,0,0.2,arcperm,COT,0.446875
Amp,Right,HTL,PTT,0,0.2,arcperm,none-HS4,0.49895833333333334
Amp,Right,HTL,PTT,0,0.2,arcperm,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.2,arcperm,none-PCA,0.5319128787878789
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTu-HS4,0.6008522727272727
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTu-HSsrc,0.5019886363636363
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTu-PCA,0.5928030303030303
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTc-HS4,0.4564393939393939
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTc-HSsrc,0.46325757575757576
Amp,Right,HTL,PTT,0,0.2,arcperm,QOTc-PCA,0.4779356060606061
Amp,Right,HTL,PTT,0,0.2,arcperm,SDM-HS4,0.5758522727272727
Amp,Right,HTL,PTT,0,0.2,arcperm,SDM-HSsrc,0.459469696969697
Amp,Right,HTL,PTT,0,0.2,arcperm,SDM-PCA,0.4524621212121212
Amp,Right,HTL,PTT,0,0.2,arcperm,COT-u,0.4850378787878788
Amp,Right,HTL,PTT,0,0.2,arcperm,SDMu-HS4,0.596685606060606
Amp,Right,HTL,PTT,0,0.2,arcperm,SDMu-HSsrc,0.4973484848484849
Amp,Right,HTL,PTT,0,0.2,arcperm,SDMu-PCA,0.5982954545454545
Amp,Right,HTL,PTT,0,0.5,real,NoAdapt,0.4975378787878788
Amp,Right,HTL,PTT,0,0.5,real,TargetOnly,0.5306818181818181
Amp,Right,HTL,PTT,0,0.5,real,Source+Target,0.5060606060606061
Amp,Right,HTL,PTT,0,0.5,real,COT,0.471969696969697
Amp,Right,HTL,PTT,0,0.5,real,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,real,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,real,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,real,QOTu-HS4,0.5015151515151515
Amp,Right,HTL,PTT,0,0.5,real,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,real,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,real,QOTc-HS4,0.6309659090909091
Amp,Right,HTL,PTT,0,0.5,real,QOTc-HSsrc,0.48323863636363634
Amp,Right,HTL,PTT,0,0.5,real,QOTc-PCA,0.4884469696969697
