Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,contig,PTT,HTL,7,0.2,401,84,161,SDMu-PCA,arc segments,0.503117019678534,0.2108843537414966,0.7380952380952381
Right,contig,PTT,HTL,7,0.3,401,84,241,COT-u,arc segments,0.5490648940964399,0.23651452282157676,0.6785714285714286
Right,contig,PTT,HTL,7,0.3,401,84,241,SDMu-HS4,arc labels,0.5298933453507586,0.23255813953488372,0.47619047619047616
Right,contig,PTT,HTL,7,0.3,401,84,241,SDMu-HSsrc,arc segments,0.6278353612738471,0.34108527131782945,0.5238095238095238
Right,contig,PTT,HTL,7,0.3,401,84,241,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,HTL,7,0.5,401,84,391,COT-u,arc segments,0.5226077812828601,0.22134387351778656,0.6666666666666666
Right,contig,PTT,HTL,7,0.5,401,84,391,SDMu-HS4,arc labels,0.5193593210154724,0.22279792746113988,0.5119047619047619
Right,contig,PTT,HTL,7,0.5,401,84,391,SDMu-HSsrc,arc segments,0.578432477091783,0.2808219178082192,0.4880952380952381
Right,contig,PTT,HTL,7,0.5,401,84,391,SDMu-PCA,arc segments,0.5336487907465826,0.22764227642276422,0.6666666666666666
Right,contig,PTT,RTT,0,0.05,2129,47,213,COT-u,arc segments,0.6073487031700289,0.02794292508917955,1.0
Right,contig,PTT,RTT,0,0.05,2129,47,213,SDMu-HSsrc,arc segments,0.5270658327712715,0.023338406900050734,0.9787234042553191
Right,contig,PTT,RTT,0,0.05,2129,47,213,SDMu-PCA,arc segments,0.5,0.02207609206200094,1.0
Right,contig,PTT,RTT,0,0.1,2129,47,426,COT-u,arc segments,0.6309808490199685,0.03014065639651708,0.9574468085106383
Right,contig,PTT,RTT,0,0.1,2129,47,426,SDMu-HSsrc,arc segments,0.5939971794714575,0.0273224043715847,0.9574468085106383
Right,contig,PTT,RTT,0,0.1,2129,47,426,SDMu-PCA,arc segments,0.5210211130868436,0.023494860499265784,0.6808510638297872
Right,contig,PTT,RTT,0,0.2,2129,47,852,COT-u,arc segments,0.6653023892738161,0.036786060019361085,0.8085106382978723
Right,contig,PTT,RTT,0,0.2,2129,47,852,SDMu-HS4,arc labels,0.6159022625544178,0.030373831775700934,0.8297872340425532
Right,contig,PTT,RTT,0,0.2,2129,47,852,SDMu-HSsrc,arc segments,0.6839832812148712,0.035859820700896494,0.9361702127659575
Right,contig,PTT,RTT,0,0.2,2129,47,852,SDMu-PCA,arc segments,0.6263974901383693,0.031799163179916316,0.8085106382978723
Right,contig,PTT,RTT,0,0.3,2129,47,1278,COT-u,arc segments,0.6654965560937725,0.0399529964747356,0.723404255319149
Right,contig,PTT,RTT,0,0.3,2129,47,1278,SDMu-HS4,arc labels,0.6950814478713185,0.041804180418041806,0.8085106382978723
Right,contig,PTT,RTT,0,0.3,2129,47,1278,SDMu-HSsrc,arc segments,0.8086230506673207,0.062146892655367235,0.9361702127659575
Right,contig,PTT,RTT,0,0.3,2129,47,1278,SDMu-PCA,arc segments,0.5617297197866209,0.027950310559006212,0.574468085106383
Right,contig,PTT,RTT,0,0.5,2129,47,2118,COT-u,arc segments,0.5065710139595725,0.02284263959390863,0.3829787234042553
Right,contig,PTT,RTT,0,0.5,2129,47,2118,SDMu-HS4,arc labels,0.7432092709546876,0.05825242718446602,0.7659574468085106
Right,contig,PTT,RTT,0,0.5,2129,47,2118,SDMu-HSsrc,arc segments,0.8270433502973817,0.07337883959044368,0.9148936170212766
Right,contig,PTT,RTT,0,0.5,2129,47,2118,SDMu-PCA,arc segments,0.7432092709546876,0.05825242718446602,0.7659574468085106
Right,contig,PTT,RTT,1,0.05,2129,8,213,COT-u,arc segments,0.5456447430457332,0.0043975373790677225,0.625
Right,contig,PTT,RTT,1,0.05,2129,8,213,SDMu-HSsrc,arc segments,0.580533946251768,0.005055611729019211,0.625
Right,contig,PTT,RTT,1,0.05,2129,8,213,SDMu-PCA,arc segments,0.46876473361621873,0.003341687552213868,0.5
Right,contig,PTT,RTT,1,0.1,2129,8,426,COT-u,arc segments,0.5496522866572371,0.004464285714285714,0.625
Right,contig,PTT,RTT,1,0.1,2129,8,426,SDMu-HS4,arc labels,0.5850129655822724,0.005154639175257732,0.625
Right,contig,PTT,RTT,1,0.1,2129,8,426,SDMu-HSsrc,arc segments,0.6250884016973126,0.00625,0.625
Right,contig,PTT,RTT,1,0.1,2129,8,426,SDMu-PCA,arc segments,0.44916902404526166,0.0029585798816568047,0.375
Right,contig,PTT,RTT,1,0.2,2129,8,852,COT-u,arc segments,0.5817126355492692,0.00508130081300813,0.625
Right,contig,PTT,RTT,1,0.2,2129,8,852,SDMu-HS4,arc labels,0.5385431400282885,0.004439511653718091,0.5
Right,contig,PTT,RTT,1,0.2,2129,8,852,SDMu-HSsrc,arc segments,0.6821369636963697,0.008960573476702509,0.625
Right,contig,PTT,RTT,1,0.2,2129,8,852,SDMu-PCA,arc segments,0.4791077322017916,0.0033821871476888386,0.375
Right,contig,PTT,RTT,1,0.3,2129,8,1278,COT-u,arc segments,0.5897277227722773,0.005263157894736842,0.625
Right,contig,PTT,RTT,1,0.3,2129,8,1278,SDMu-HS4,arc labels,0.6255304101838755,0.007518796992481203,0.5
Right,contig,PTT,RTT,1,0.3,2129,8,1278,SDMu-HSsrc,arc segments,0.6408533710513908,0.008565310492505354,0.5
Right,contig,PTT,RTT,1,0.3,2129,8,1278,SDMu-PCA,arc segments,0.5729608675153229,0.005298013245033113,0.5
Right,contig,PTT,RTT,1,0.5,2129,8,2106,COT-u,arc segments,0.6217880716643093,0.006142506142506142,0.625
Right,contig,PTT,RTT,1,0.5,2129,8,2106,SDMu-HS4,arc labels,0.6377887788778878,0.008333333333333333,0.5
Right,contig,PTT,RTT,1,0.5,2129,8,2106,SDMu-HSsrc,arc segments,0.6427392739273927,0.008714596949891068,0.5
Right,contig,PTT,RTT,1,0.5,2129,8,2106,SDMu-PCA,arc segments,0.5071310702498821,0.00398406374501992,0.25
Right,contig,PTT,RTT,2,0.05,2129,6,213,COT-u,arc segments,0.7461532422672319,0.006858710562414266,0.8333333333333334
Right,contig,PTT,RTT,2,0.05,2129,6,213,SDMu-HS4,arc labels,0.5540116187784582,0.0033613445378151263,0.6666666666666666
Right,contig,PTT,RTT,2,0.05,2129,6,213,SDMu-HSsrc,arc segments,0.7259381378552363,0.008695652173913044,0.6666666666666666
Right,contig,PTT,RTT,2,0.05,2129,6,213,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,RTT,2,0.1,2129,6,426,COT-u,arc segments,0.7939236928874235,0.00681044267877412,1.0
Right,contig,PTT,RTT,2,0.1,2129,6,426,SDMu-HS4,arc labels,0.6771863714868895,0.005997001499250375,0.6666666666666666
Right,contig,PTT,RTT,2,0.1,2129,6,426,SDMu-HSsrc,arc segments,0.6993248547652693,0.006980802792321117,0.6666666666666666
Right,contig,PTT,RTT,2,0.1,2129,6,426,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,RTT,2,0.2,2129,6,852,COT-u,arc segments,0.638797299419061,0.004819277108433735,0.6666666666666666
Right,contig,PTT,RTT,2,0.2,2129,6,852,SDMu-HS4,arc labels,0.6559899513267389,0.005284015852047556,0.6666666666666666
Right,contig,PTT,RTT,2,0.2,2129,6,852,SDMu-HSsrc,arc segments,0.714397864656932,0.007858546168958742,0.6666666666666666
Right,contig,PTT,RTT,2,0.2,2129,6,852,SDMu-PCA,arc segments,0.49564295807819125,0.002770083102493075,0.5
Right,contig,PTT,RTT,2,0.3,2129,6,1278,COT-u,arc segments,0.6159522688020097,0.004314994606256742,0.6666666666666666
Right,contig,PTT,RTT,2,0.3,2129,6,1278,SDMu-HS4,arc labels,0.65504788820851,0.005256241787122208,0.6666666666666666
Right,contig,PTT,RTT,2,0.3,2129,6,1278,SDMu-HSsrc,arc segments,0.6941435076150102,0.0067226890756302525,0.6666666666666666
Right,contig,PTT,RTT,2,0.3,2129,6,1278,SDMu-PCA,arc segments,0.5479274611398963,0.003484320557491289,0.5
Right,contig,PTT,RTT,2,0.5,2129,6,2106,COT-u,arc segments,0.6835060449050087,0.005025125628140704,0.8333333333333334
Right,contig,PTT,RTT,2,0.5,2129,6,2106,SDMu-HS4,arc labels,0.6246663526456273,0.0044943820224719105,0.6666666666666666
Right,contig,PTT,RTT,2,0.5,2129,6,2106,SDMu-HSsrc,arc segments,0.7664075993091537,0.007776049766718507,0.8333333333333334
Right,contig,PTT,RTT,2,0.5,2129,6,2106,SDMu-PCA,arc segments,0.6966949285602135,0.005324813631522897,0.8333333333333334
Right,contig,PTT,RTT,3,0.05,2129,6,213,COT-u,arc segments,0.6037447008949599,0.004807692307692308,0.5
Right,contig,PTT,RTT,3,0.05,2129,6,213,SDMu-HS4,arc labels,0.6475506358926049,0.00684931506849315,0.5
Right,contig,PTT,RTT,3,0.05,2129,6,213,SDMu-HSsrc,arc segments,0.7372428952739833,0.009708737864077669,0.6666666666666666
Right,contig,PTT,RTT,3,0.05,2129,6,213,SDMu-PCA,arc segments,0.5201365991521432,0.0030643513789581204,0.5
Right,contig,PTT,RTT,3,0.1,2129,6,426,COT-u,arc segments,0.5900847856806406,0.004398826979472141,0.5
Right,contig,PTT,RTT,3,0.1,2129,6,426,SDMu-HS4,arc labels,0.6451954780970325,0.006696428571428571,0.5
Right,contig,PTT,RTT,3,0.1,2129,6,426,SDMu-HSsrc,arc segments,0.7395980530695556,0.009950248756218905,0.6666666666666666
Right,contig,PTT,RTT,3,0.1,2129,6,426,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,RTT,3,0.2,2129,6,852,COT-u,arc segments,0.7080389386088868,0.007462686567164179,0.6666666666666666
Right,contig,PTT,RTT,3,0.2,2129,6,852,SDMu-HS4,arc labels,0.7158109593342754,0.007952286282306162,0.6666666666666666
Right,contig,PTT,RTT,3,0.2,2129,6,852,SDMu-HSsrc,arc segments,0.7252315905165646,0.008639308855291577,0.6666666666666666
Right,contig,PTT,RTT,3,0.2,2129,6,852,SDMu-PCA,arc segments,0.6835452975349348,0.00625,0.6666666666666666
Right,contig,PTT,RTT,3,0.3,2129,6,1278,COT-u,arc segments,0.6281990893389857,0.004571428571428572,0.6666666666666666
Right,contig,PTT,RTT,3,0.3,2129,6,1278,SDMu-HS4,arc labels,0.6675302245250432,0.005649717514124294,0.6666666666666666
Right,contig,PTT,RTT,3,0.3,2129,6,1278,SDMu-HSsrc,arc segments,0.6934369602763385,0.006688963210702341,0.6666666666666666
Right,contig,PTT,RTT,3,0.3,2129,6,1278,SDMu-PCA,arc segments,0.5801538703093108,0.0037071362372567192,0.6666666666666666
Right,contig,PTT,RTT,3,0.5,2129,6,2106,COT-u,arc segments,0.680679855550322,0.004965243296921549,0.8333333333333334
Right,contig,PTT,RTT,3,0.5,2129,6,2106,SDMu-HS4,arc labels,0.6171298476997958,0.004338394793926247,0.6666666666666666
Right,contig,PTT,RTT,3,0.5,2129,6,2106,SDMu-HSsrc,arc segments,0.764523473072696,0.007680491551459293,0.8333333333333334
Right,contig,PTT,RTT,3,0.5,2129,6,2106,SDMu-PCA,arc segments,0.6714947401475899,0.004780114722753346,0.8333333333333334
Right,contig,PTT,RTT,4,0.05,2129,7,213,COT-u,arc segments,0.7416857412144877,0.010101010101010102,0.7142857142857143
Right,contig,PTT,RTT,4,0.05,2129,7,213,SDMu-HSsrc,arc segments,0.6646021273730982,0.007722007722007722,0.5714285714285714
Right,contig,PTT,RTT,4,0.05,2129,7,213,SDMu-PCA,arc segments,0.6683721556483102,0.00796812749003984,0.5714285714285714
Right,contig,PTT,RTT,4,0.1,2129,7,426,COT-u,arc segments,0.6709977110542615,0.006289308176100629,0.7142857142857143
Right,contig,PTT,RTT,4,0.1,2129,7,426,SDMu-HSsrc,arc segments,0.6507001481082537,0.006932409012131715,0.5714285714285714
Right,contig,PTT,RTT,4,0.1,2129,7,426,SDMu-PCA,arc segments,0.6488151339706476,0.006837606837606838,0.5714285714285714
Right,contig,PTT,RTT,4,0.2,2129,7,852,COT-u,arc segments,0.6373030833445537,0.005330490405117271,0.7142857142857143
Right,contig,PTT,RTT,4,0.2,2129,7,852,SDMu-HS4,arc labels,0.6106435976841255,0.00535475234270415,0.5714285714285714
Right,contig,PTT,RTT,4,0.2,2129,7,852,SDMu-HSsrc,arc segments,0.6898478524303218,0.006993006993006993,0.7142857142857143
Right,contig,PTT,RTT,4,0.2,2129,7,852,SDMu-PCA,arc segments,0.6446075131277771,0.005512679162072767,0.7142857142857143
Right,contig,PTT,RTT,4,0.3,2129,7,1278,COT-u,arc segments,0.640837484852565,0.005417118093174431,0.7142857142857143
Right,contig,PTT,RTT,4,0.3,2129,7,1278,SDMu-HS4,arc labels,0.5913222027736637,0.0048250904704463205,0.5714285714285714
Right,contig,PTT,RTT,4,0.3,2129,7,1278,SDMu-HSsrc,arc segments,0.6990372963511512,0.0073964497041420114,0.7142857142857143
Right,contig,PTT,RTT,4,0.3,2129,7,1278,SDMu-PCA,arc segments,0.630234280328531,0.005165289256198347,0.7142857142857143
Right,contig,PTT,RTT,4,0.5,2129,7,2106,COT-u,arc segments,0.6955365558098828,0.006030150753768844,0.8571428571428571
Right,contig,PTT,RTT,4,0.5,2129,7,2106,SDMu-HS4,arc labels,0.5731789416992056,0.004415011037527594,0.5714285714285714
Right,contig,PTT,RTT,4,0.5,2129,7,2106,SDMu-HSsrc,arc segments,0.7065773529015753,0.007763975155279503,0.7142857142857143
Right,contig,PTT,RTT,4,0.5,2129,7,2106,SDMu-PCA,arc segments,0.59866029352363,0.004537205081669692,0.7142857142857143
Right,contig,PTT,RTT,5,0.05,2129,22,213,COT-u,arc segments,0.6416706217370669,0.014360313315926894,1.0
Right,contig,PTT,RTT,5,0.05,2129,22,213,SDMu-HSsrc,arc segments,0.6541183069422272,0.015552099533437015,0.9090909090909091
Right,contig,PTT,RTT,5,0.05,2129,22,213,SDMu-PCA,arc segments,0.6493722224619234,0.015313935681470138,0.9090909090909091
Right,contig,PTT,RTT,5,0.1,2129,22,426,COT-u,arc segments,0.6732320835310869,0.015725518227305217,1.0
Right,contig,PTT,RTT,5,0.1,2129,22,426,SDMu-HSsrc,arc segments,0.6700176899512448,0.016406890894175553,0.9090909090909091
Right,contig,PTT,RTT,5,0.1,2129,22,426,SDMu-PCA,arc segments,0.7055054579971524,0.01741884402216944,1.0
Right,contig,PTT,RTT,5,0.2,2129,22,852,COT-u,arc segments,0.6465245717737412,0.015174506828528073,0.9090909090909091
Right,contig,PTT,RTT,5,0.2,2129,22,852,SDMu-HS4,arc labels,0.7003926306251888,0.01833180568285976,0.9090909090909091
Right,contig,PTT,RTT,5,0.2,2129,22,852,SDMu-HSsrc,arc segments,0.7027656728653406,0.018501387604070305,0.9090909090909091
Right,contig,PTT,RTT,5,0.2,2129,22,852,SDMu-PCA,arc segments,0.6114359062864045,0.015274949083503055,0.6818181818181818
Right,contig,PTT,RTT,5,0.3,2129,22,1278,COT-u,arc segments,0.6533308883807223,0.01701701701701702,0.7727272727272727
Right,contig,PTT,RTT,5,0.3,2129,22,1278,SDMu-HS4,arc labels,0.7167666220822366,0.019569471624266144,0.9090909090909091
Right,contig,PTT,RTT,5,0.3,2129,22,1278,SDMu-HSsrc,arc segments,0.7210380981145101,0.0199203187250996,0.9090909090909091
Right,contig,PTT,RTT,5,0.3,2129,22,1278,SDMu-PCA,arc segments,0.6316067653276956,0.016722408026755852,0.6818181818181818
Right,contig,PTT,RTT,5,0.5,2129,22,2106,COT-u,arc segments,0.6629309228977003,0.0196078431372549,0.6818181818181818
Right,contig,PTT,RTT,5,0.5,2129,22,2106,SDMu-HS4,arc labels,0.6387798248263364,0.01818181818181818,0.6363636363636364
Right,contig,PTT,RTT,5,0.5,2129,22,2106,SDMu-HSsrc,arc segments,0.7290309358415671,0.025,0.7727272727272727
Right,contig,PTT,RTT,5,0.5,2129,22,2106,SDMu-PCA,arc segments,0.516783880571256,0.011148272017837236,0.45454545454545453
Right,contig,PTT,RTT,6,0.05,2129,31,213,COT-u,arc segments,0.6704772594483226,0.022304832713754646,0.967741935483871
Right,contig,PTT,RTT,6,0.05,2129,31,213,SDMu-HSsrc,arc segments,0.6348826839693718,0.020633750921149593,0.9032258064516129
Right,contig,PTT,RTT,6,0.05,2129,31,213,SDMu-PCA,arc segments,0.5,0.01456082667919211,1.0
Right,contig,PTT,RTT,6,0.1,2129,31,426,COT-u,arc segments,0.675243703680925,0.022641509433962263,0.967741935483871
Right,contig,PTT,RTT,6,0.1,2129,31,426,SDMu-HSsrc,arc segments,0.6148636181924414,0.01943095072866065,0.9032258064516129
Right,contig,PTT,RTT,6,0.1,2129,31,426,SDMu-PCA,arc segments,0.6159783511178081,0.019269102990033222,0.9354838709677419
Right,contig,PTT,RTT,6,0.2,2129,31,852,COT-u,arc segments,0.6309926504505059,0.02011095700416089,0.9354838709677419
Right,contig,PTT,RTT,6,0.2,2129,31,852,SDMu-HSsrc,arc segments,0.6456071834927273,0.021341463414634148,0.9032258064516129
Right,contig,PTT,RTT,6,0.2,2129,31,852,SDMu-PCA,arc segments,0.5686137335096405,0.017988552739165987,0.7096774193548387
Right,contig,PTT,RTT,6,0.3,2129,31,1278,COT-u,arc segments,0.5668685998954457,0.01770592763664357,0.7419354838709677
Right,contig,PTT,RTT,6,0.3,2129,31,1278,SDMu-HSsrc,arc segments,0.677857560195578,0.024368231046931407,0.8709677419354839
Right,contig,PTT,RTT,6,0.3,2129,31,1278,SDMu-PCA,arc segments,0.5067114609920355,0.014970059880239521,0.4838709677419355
Right,contig,PTT,RTT,6,0.5,2129,31,2106,COT-u,arc segments,0.5461191918570681,0.017453798767967144,0.5483870967741935
Right,contig,PTT,RTT,6,0.5,2129,31,2106,SDMu-HS4,arc labels,0.5191810941295858,0.015891032917139614,0.45161290322580644
Right,contig,PTT,RTT,6,0.5,2129,31,2106,SDMu-HSsrc,arc segments,0.7182877702266367,0.031210986267166042,0.8064516129032258
Right,contig,PTT,RTT,6,0.5,2129,31,2106,SDMu-PCA,arc segments,0.44021956394723083,0.0117096018735363,0.4838709677419355
Right,contig,PTT,RTT,7,0.05,2129,35,213,COT-u,arc segments,0.6619320507572657,0.02446043165467626,0.9714285714285714
Right,contig,PTT,RTT,7,0.05,2129,35,213,SDMu-HSsrc,arc segments,0.6082889889480148,0.021433355659745478,0.9142857142857143
Right,contig,PTT,RTT,7,0.05,2129,35,213,SDMu-PCA,arc segments,0.528741983899577,0.017739816031537452,0.7714285714285715
Right,contig,PTT,RTT,7,0.1,2129,35,426,COT-u,arc segments,0.6619320507572657,0.02446043165467626,0.9714285714285714
Right,contig,PTT,RTT,7,0.1,2129,35,426,SDMu-HSsrc,arc segments,0.5984991131122936,0.020860495436766623,0.9142857142857143
Right,contig,PTT,RTT,7,0.1,2129,35,426,SDMu-PCA,arc segments,0.606378769272752,0.021319120586275817,0.9142857142857143
Right,contig,PTT,RTT,7,0.2,2129,35,852,COT-u,arc segments,0.6241301678264428,0.022988505747126436,0.8571428571428571
Right,contig,PTT,RTT,7,0.2,2129,35,852,SDMu-HSsrc,arc segments,0.6453404284349843,0.02427564604541895,0.8857142857142857
Right,contig,PTT,RTT,7,0.2,2129,35,852,SDMu-PCA,arc segments,0.5545708827943785,0.019216555801921657,0.7428571428571429
Right,contig,PTT,RTT,7,0.3,2129,35,1278,COT-u,arc segments,0.5876859053076818,0.02265705458290422,0.6285714285714286
Right,contig,PTT,RTT,7,0.3,2129,35,1278,SDMu-HS4,arc labels,0.5381839268658752,0.019251336898395723,0.5142857142857142
Right,contig,PTT,RTT,7,0.3,2129,35,1278,SDMu-HSsrc,arc segments,0.6666734888797926,0.027204502814258912,0.8285714285714286
Right,contig,PTT,RTT,7,0.3,2129,35,1278,SDMu-PCA,arc segments,0.5,0.016439643024894316,1.0
Right,contig,PTT,RTT,7,0.5,2129,35,2118,COT-u,arc segments,0.5083776777186519,0.01701701701701702,0.4857142857142857
Right,contig,PTT,RTT,7,0.5,2129,35,2118,SDMu-HS4,arc labels,0.4679083094555874,0.014198782961460446,0.4
Right,contig,PTT,RTT,7,0.5,2129,35,2118,SDMu-HSsrc,arc segments,0.6800450266066312,0.028712871287128714,0.8285714285714286
Right,contig,PTT,RTT,7,0.5,2129,35,2118,SDMu-PCA,arc segments,0.3721244371674171,0.008310249307479225,0.2571428571428571
Right,contig,PTT,WRM,0,0.05,508,32,51,COT-u,arc segments,0.5170693277310925,0.0759493670886076,0.1875
Right,contig,PTT,WRM,0,0.05,508,32,51,SDMu-HS4,arc labels,0.5866596638655462,0.0851063829787234,0.625
Right,contig,PTT,WRM,0,0.05,508,32,51,SDMu-HSsrc,arc segments,0.5990021008403361,0.08627450980392157,0.6875
Right,contig,PTT,WRM,0,0.05,508,32,51,SDMu-PCA,arc segments,0.6492909663865547,0.1031390134529148,0.71875
Right,contig,PTT,WRM,0,0.1,508,32,102,COT-u,arc segments,0.49067752100840334,0.058333333333333334,0.21875
Right,contig,PTT,WRM,0,0.1,508,32,102,SDMu-HS4,arc labels,0.5561974789915967,0.07575757575757576,0.625
Right,contig,PTT,WRM,0,0.1,508,32,102,SDMu-HSsrc,arc segments,0.646796218487395,0.09523809523809523,0.8125
Right,contig,PTT,WRM,0,0.1,508,32,102,SDMu-PCA,arc segments,0.5182510504201681,0.06878306878306878,0.40625
Right,contig,PTT,WRM,0,0.2,508,32,203,COT-u,arc segments,0.5011817226890756,0.06363636363636363,0.21875
Right,contig,PTT,WRM,0,0.2,508,32,203,SDMu-HS4,arc labels,0.5905987394957983,0.08365019011406843,0.6875
Right,contig,PTT,WRM,0,0.2,508,32,203,SDMu-HSsrc,arc segments,0.6385241596638656,0.09433962264150944,0.78125
Right,contig,PTT,WRM,0,0.2,508,32,203,SDMu-PCA,arc segments,0.5476628151260504,0.08074534161490683,0.40625
Right,contig,PTT,WRM,0,0.3,508,32,305,COT-u,arc segments,0.5064338235294117,0.06666666666666667,0.21875
Right,contig,PTT,WRM,0,0.3,508,32,305,SDMu-HS4,arc labels,0.6020220588235294,0.08582089552238806,0.71875
Right,contig,PTT,WRM,0,0.3,508,32,305,SDMu-HSsrc,arc segments,0.6708245798319328,0.10150375939849623,0.84375
Right,contig,PTT,WRM,0,0.3,508,32,305,SDMu-PCA,arc segments,0.5506827731092436,0.08045977011494253,0.4375
Right,contig,PTT,WRM,0,0.5,508,32,498,COT-u,arc segments,0.5747111344537815,0.08982035928143713,0.46875
Right,contig,PTT,WRM,0,0.5,508,32,498,SDMu-HS4,arc labels,0.5572478991596639,0.07604562737642585,0.625
Right,contig,PTT,WRM,0,0.5,508,32,498,SDMu-HSsrc,arc segments,0.6137079831932772,0.0912863070539419,0.6875
Right,contig,PTT,WRM,0,0.5,508,32,498,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,WRM,1,0.05,508,19,51,COT-u,arc segments,0.6838338176730169,0.06451612903225806,0.8421052631578947
Right,contig,PTT,WRM,1,0.05,508,19,51,SDMu-HSsrc,arc segments,0.5882036379291787,0.04556962025316456,0.9473684210526315
Right,contig,PTT,WRM,1,0.05,508,19,51,SDMu-PCA,arc segments,0.592293617479281,0.04603580562659847,0.9473684210526315
Right,contig,PTT,WRM,1,0.1,508,19,102,COT-u,arc segments,0.5088795608653536,0.04,0.2631578947368421
Right,contig,PTT,WRM,1,0.1,508,19,102,SDMu-HS4,arc labels,0.6178559896674201,0.04918032786885246,0.9473684210526315
Right,contig,PTT,WRM,1,0.1,508,19,102,SDMu-HSsrc,arc segments,0.648530836293187,0.05357142857142857,0.9473684210526315
Right,contig,PTT,WRM,1,0.1,508,19,102,SDMu-PCA,arc segments,0.601496071467011,0.04712041884816754,0.9473684210526315
Right,contig,PTT,WRM,1,0.2,508,19,203,COT-u,arc segments,0.5696910989129265,0.058823529411764705,0.3684210526315789
Right,contig,PTT,WRM,1,0.2,508,19,203,SDMu-HS4,arc labels,0.6626305026369605,0.06198347107438017,0.7894736842105263
Right,contig,PTT,WRM,1,0.2,508,19,203,SDMu-HSsrc,arc segments,0.6937896889462921,0.06415094339622641,0.8947368421052632
Right,contig,PTT,WRM,1,0.2,508,19,203,SDMu-PCA,arc segments,0.6296415886341621,0.053156146179401995,0.8421052631578947
Right,contig,PTT,WRM,1,0.3,508,19,305,COT-u,arc segments,0.577871058013131,0.06306306306306306,0.3684210526315789
Right,contig,PTT,WRM,1,0.3,508,19,305,SDMu-HS4,arc labels,0.6828113227854913,0.0642570281124498,0.8421052631578947
Right,contig,PTT,WRM,1,0.3,508,19,305,SDMu-HSsrc,arc segments,0.70810461737165,0.06772908366533864,0.8947368421052632
Right,contig,PTT,WRM,1,0.3,508,19,305,SDMu-PCA,arc segments,0.5998277903347325,0.06293706293706294,0.47368421052631576
Right,contig,PTT,WRM,1,0.5,508,19,487,COT-u,arc segments,0.5604886449251965,0.0546875,0.3684210526315789
Right,contig,PTT,WRM,1,0.5,508,19,487,SDMu-HS4,arc labels,0.6800129157248951,0.06666666666666667,0.7894736842105263
Right,contig,PTT,WRM,1,0.5,508,19,487,SDMu-HSsrc,arc segments,0.702238725648477,0.06956521739130435,0.8421052631578947
Right,contig,PTT,WRM,1,0.5,508,19,487,SDMu-PCA,arc segments,0.5735120008610484,0.056338028169014086,0.42105263157894735
Right,contig,PTT,WRM,2,0.05,508,18,51,COT-u,arc segments,0.5806122448979592,0.04195804195804196,1.0
Right,contig,PTT,WRM,2,0.05,508,18,51,SDMu-HSsrc,arc segments,0.5826530612244898,0.04215456674473068,1.0
Right,contig,PTT,WRM,2,0.05,508,18,51,SDMu-PCA,arc segments,0.5121315192743764,0.036619718309859155,0.7222222222222222
Right,contig,PTT,WRM,2,0.1,508,18,102,COT-u,arc segments,0.6860544217687075,0.06224066390041494,0.8333333333333334
Right,contig,PTT,WRM,2,0.1,508,18,102,SDMu-HSsrc,arc segments,0.633673469387755,0.04774535809018567,1.0
Right,contig,PTT,WRM,2,0.1,508,18,102,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,PTT,WRM,2,0.2,508,18,203,COT-u,arc segments,0.5806122448979592,0.05142857142857143,0.5
Right,contig,PTT,WRM,2,0.2,508,18,203,SDMu-HS4,arc labels,0.7234693877551021,0.06228373702422145,1.0
Right,contig,PTT,WRM,2,0.2,508,18,203,SDMu-HSsrc,arc segments,0.7010204081632653,0.05787781350482315,1.0
Right,contig,PTT,WRM,2,0.2,508,18,203,SDMu-PCA,arc segments,0.5802721088435374,0.046153846153846156,0.6666666666666666
Right,contig,PTT,WRM,2,0.3,508,18,305,COT-u,arc segments,0.5699546485260771,0.05426356589147287,0.3888888888888889
Right,contig,PTT,WRM,2,0.3,508,18,305,SDMu-HS4,arc labels,0.704875283446712,0.06093189964157706,0.9444444444444444
Right,contig,PTT,WRM,2,0.3,508,18,305,SDMu-HSsrc,arc segments,0.6997732426303855,0.05985915492957746,0.9444444444444444
Right,contig,PTT,WRM,2,0.3,508,18,305,SDMu-PCA,arc segments,0.5255102040816326,0.039301310043668124,0.5
Right,contig,PTT,WRM,2,0.5,508,18,488,COT-u,arc segments,0.5852607709750567,0.06140350877192982,0.3888888888888889
Right,contig,PTT,WRM,2,0.5,508,18,488,SDMu-HS4,arc labels,0.704421768707483,0.06726457399103139,0.8333333333333334
Right,contig,PTT,WRM,2,0.5,508,18,488,SDMu-HSsrc,arc segments,0.7097505668934241,0.06504065040650407,0.8888888888888888
Right,contig,PTT,WRM,2,0.5,508,18,488,SDMu-PCA,arc segments,0.5956916099773242,0.06060606060606061,0.4444444444444444
Right,contig,PTT,WRM,3,0.05,508,34,51,COT-u,arc segments,0.4959667411268305,0.06572769953051644,0.4117647058823529
