Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,contig,HTL,PTT,2,0.2,1136,67,454,SDMu-PCA,arc segments,0.48093489521522415,0.05167173252279635,0.2537313432835821
Right,contig,HTL,PTT,2,0.3,1136,67,682,COT-u,arc segments,0.4915460117560002,0.05647058823529412,0.3582089552238806
Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-HS4,arc labels,0.5202658363933373,0.07109004739336493,0.22388059701492538
Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-HSsrc,arc segments,0.5202658363933373,0.07109004739336493,0.22388059701492538
Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-PCA,arc segments,0.475873671865183,0.04779411764705882,0.19402985074626866
Right,contig,HTL,PTT,2,0.5,1136,67,1112,COT-u,arc segments,0.488781536657219,0.055415617128463476,0.3283582089552239
Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-HS4,arc labels,0.47927341775686577,0.04294478527607362,0.1044776119402985
Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-HSsrc,arc segments,0.4872247741647236,0.04794520547945205,0.1044776119402985
Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-PCA,arc segments,0.48480236795442805,0.0502283105022831,0.16417910447761194
Right,contig,HTL,PTT,3,0.05,1136,53,114,COT-u,arc segments,0.46167180612902664,0.03993055555555555,0.4339622641509434
Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-HS4,arc labels,0.6139392672346209,0.06487341772151899,0.7735849056603774
Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-HSsrc,arc segments,0.5627537065105663,0.055714285714285716,0.7358490566037735
Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-PCA,arc segments,0.5924406348542658,0.06,0.7924528301886793
Right,contig,HTL,PTT,3,0.1,1136,53,227,COT-u,arc segments,0.4391714141361348,0.03525046382189239,0.3584905660377358
Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-HS4,arc labels,0.5913604766633564,0.06557377049180328,0.6037735849056604
Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-HSsrc,arc segments,0.47835328141605254,0.04225352112676056,0.39622641509433965
Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-PCA,arc segments,0.46398020871443757,0.040280210157618214,0.4339622641509434
Right,contig,HTL,PTT,3,0.2,1136,53,454,COT-u,arc segments,0.44366626596282166,0.03739837398373984,0.4339622641509434
Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-HS4,arc labels,0.5391557344204603,0.059800664451827246,0.33962264150943394
Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-HSsrc,arc segments,0.5046516489834317,0.04827586206896552,0.2641509433962264
Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,3,0.3,1136,53,682,COT-u,arc segments,0.4474032648652415,0.033816425120772944,0.2641509433962264
Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-HS4,arc labels,0.5169166710221432,0.05371900826446281,0.24528301886792453
Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-HSsrc,arc segments,0.5102527918604853,0.05106382978723404,0.22641509433962265
Right,contig,HTL,PTT,3,0.3,1136,53,682,SDMu-PCA,arc segments,0.45087893517308664,0.02553191489361702,0.11320754716981132
Right,contig,HTL,PTT,3,0.5,1136,53,1112,COT-u,arc segments,0.44806529730483113,0.03456221198156682,0.2830188679245283
Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-HS4,arc labels,0.48445965957595083,0.04032258064516129,0.18867924528301888
Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-HSsrc,arc segments,0.5176396801338002,0.0547945205479452,0.22641509433962265
Right,contig,HTL,PTT,3,0.5,1136,53,1112,SDMu-PCA,arc segments,0.47046986881304553,0.03271028037383177,0.1320754716981132
Right,contig,HTL,PTT,4,0.05,1136,51,114,COT-u,arc segments,0.52154151983374,0.056818181818181816,0.19607843137254902
Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-HS4,arc labels,0.5194451974338122,0.058823529411764705,0.1568627450980392
Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-HSsrc,arc segments,0.48714195355561585,0.03418803418803419,0.0784313725490196
Right,contig,HTL,PTT,4,0.05,1136,51,114,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,4,0.1,1136,51,227,COT-u,arc segments,0.5631426764254088,0.10185185185185185,0.21568627450980393
Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-HS4,arc labels,0.470425589590675,0.022900763358778626,0.058823529411764705
Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-HSsrc,arc segments,0.49221107797957897,0.03773584905660377,0.0784313725490196
Right,contig,HTL,PTT,4,0.1,1136,51,227,SDMu-PCA,arc segments,0.47503388452155054,0.024793388429752067,0.058823529411764705
Right,contig,HTL,PTT,4,0.2,1136,51,454,COT-u,arc segments,0.4977048884069757,0.044,0.21568627450980393
Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-HS4,arc labels,0.5123249299719889,0.05102040816326531,0.19607843137254902
Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-HSsrc,arc segments,0.49942170416553716,0.044642857142857144,0.19607843137254902
Right,contig,HTL,PTT,4,0.2,1136,51,454,SDMu-PCA,arc segments,0.45275142314990513,0.0297029702970297,0.17647058823529413
Right,contig,HTL,PTT,4,0.3,1136,51,682,COT-u,arc segments,0.48379868076262766,0.040345821325648415,0.27450980392156865
Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-HS4,arc labels,0.47315442305954636,0.03558718861209965,0.19607843137254902
Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-HSsrc,arc segments,0.48295834462817383,0.03900709219858156,0.21568627450980393
Right,contig,HTL,PTT,4,0.3,1136,51,682,SDMu-PCA,arc segments,0.4731996024216138,0.03783783783783784,0.27450980392156865
Right,contig,HTL,PTT,4,0.5,1136,51,1114,COT-u,arc segments,0.5095238095238095,0.04748603351955307,0.3333333333333333
Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-HS4,arc labels,0.4687991325562483,0.03582089552238806,0.23529411764705882
Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-HSsrc,arc segments,0.4915876027830487,0.04149377593360996,0.19607843137254902
Right,contig,HTL,PTT,4,0.5,1136,51,1114,SDMu-PCA,arc segments,0.3842595102557152,0.02486678507992895,0.27450980392156865
Right,contig,HTL,PTT,5,0.05,1136,19,114,COT-u,arc segments,0.47867879187673745,0.013215859030837005,0.15789473684210525
Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-HS4,arc labels,0.3410922112802149,0.0,0.0
Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-HSsrc,arc segments,0.4359892569382274,0.0,0.0
Right,contig,HTL,PTT,5,0.05,1136,19,114,SDMu-PCA,arc segments,0.4288272157564906,0.0,0.0
Right,contig,HTL,PTT,5,0.1,1136,19,227,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-HS4,arc labels,0.3717900391085143,0.0049261083743842365,0.10526315789473684
Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-HSsrc,arc segments,0.4359892569382274,0.0,0.0
Right,contig,HTL,PTT,5,0.1,1136,19,227,SDMu-PCA,arc segments,0.37421665174574753,0.0,0.0
Right,contig,HTL,PTT,5,0.2,1136,19,454,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-HS4,arc labels,0.35899731423455683,0.0,0.0
Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-HSsrc,arc segments,0.41092211280214863,0.0,0.0
Right,contig,HTL,PTT,5,0.2,1136,19,454,SDMu-PCA,arc segments,0.49300287424021105,0.015384615384615385,0.15789473684210525
Right,contig,HTL,PTT,5,0.3,1136,19,682,COT-u,arc segments,0.5134052678697639,0.01858736059479554,0.2631578947368421
