Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-HS4,0.5015151515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-HS4,0.6309659090909091
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-HSsrc,0.48323863636363634
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-PCA,0.4884469696969697
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-HS4,0.5015151515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-HS4,0.6309659090909091
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-HSsrc,0.48323863636363634
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-PCA,0.4884469696969697
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-HS4,0.5015151515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-HS4,0.6309659090909091
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-HSsrc,0.48323863636363634
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-PCA,0.4884469696969697
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-HS4,0.5015151515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-HSsrc,0.4952651515151515
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-PCA,0.4946022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-HS4,0.6309659090909091
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-HSsrc,0.48323863636363634
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-PCA,0.5098484848484849
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-HS4,0.4971590909090909
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-HSsrc,0.4981060606060606
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-PCA,0.5066287878787878
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-HS4,0.6530303030303031
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-HSsrc,0.4822916666666667
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-PCA,0.6497159090909091
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-HS4,0.5102272727272728
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-PCA,0.5196022727272727
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,COT-u,0.4893939393939394
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-HS4,0.4857007575757576
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-HSsrc,0.4866477272727273
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,COT-c,0.5215909090909091
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-HS4,0.5368371212121212
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-HSsrc,0.4540719696969697
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-PCA,0.5
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,COT-u,0.48797348484848485
Amp,Right,HTL,PTT,0,0.5,1,OTREG,0.005,SDMu-HS4,0.4857007575757576
