Source,Target,AdaptFrac,nRot,Block,nEval,nEvalPos,NoAdapt,NoAdapt_lo,NoAdapt_hi,TargetOnly,TargetOnly_lo,TargetOnly_hi,Source+Target,Source+Target_lo,Source+Target_hi,COT,COT_lo,COT_hi,none-HS4,none-HS4_lo,none-HS4_hi,none-HSsrc,none-HSsrc_lo,none-HSsrc_hi,none-PCA,none-PCA_lo,none-PCA_hi,QOTu-HS4,QOTu-HS4_lo,QOTu-HS4_hi,QOTu-HSsrc,QOTu-HSsrc_lo,QOTu-HSsrc_hi,QOTu-PCA,QOTu-PCA_lo,QOTu-PCA_hi,QOTc-HS4,QOTc-HS4_lo,QOTc-HS4_hi,QOTc-HSsrc,QOTc-HSsrc_lo,QOTc-HSsrc_hi,QOTc-PCA,QOTc-PCA_lo,QOTc-PCA_hi,SDM-HS4,SDM-HS4_lo,SDM-HS4_hi,SDM-HSsrc,SDM-HSsrc_lo,SDM-HSsrc_hi,SDM-PCA,SDM-PCA_lo,SDM-PCA_hi,QOTu-HS4|none-HS4,QOTu-HS4|none-HS4_lo,QOTu-HS4|none-HS4_hi,QOTu-HSsrc|none-HSsrc,QOTu-HSsrc|none-HSsrc_lo,QOTu-HSsrc|none-HSsrc_hi,QOTu-PCA|none-PCA,QOTu-PCA|none-PCA_lo,QOTu-PCA|none-PCA_hi,QOTc-HS4|none-HS4,QOTc-HS4|none-HS4_lo,QOTc-HS4|none-HS4_hi,QOTc-HSsrc|none-HSsrc,QOTc-HSsrc|none-HSsrc_lo,QOTc-HSsrc|none-HSsrc_hi,QOTc-PCA|none-PCA,QOTc-PCA|none-PCA_lo,QOTc-PCA|none-PCA_hi,SDM-HS4|none-HS4,SDM-HS4|none-HS4_lo,SDM-HS4|none-HS4_hi,SDM-HSsrc|none-HSsrc,SDM-HSsrc|none-HSsrc_lo,SDM-HSsrc|none-HSsrc_hi,SDM-PCA|none-PCA,SDM-PCA|none-PCA_lo,SDM-PCA|none-PCA_hi,QOTu-HS4|SDM-HS4,QOTu-HS4|SDM-HS4_lo,QOTu-HS4|SDM-HS4_hi,QOTu-HSsrc|SDM-HSsrc,QOTu-HSsrc|SDM-HSsrc_lo,QOTu-HSsrc|SDM-HSsrc_hi,QOTu-PCA|SDM-PCA,QOTu-PCA|SDM-PCA_lo,QOTu-PCA|SDM-PCA_hi,QOTu-HSsrc|TargetOnly,QOTu-HSsrc|TargetOnly_lo,QOTu-HSsrc|TargetOnly_hi,TargetOnly|NoAdapt,TargetOnly|NoAdapt_lo,TargetOnly|NoAdapt_hi,COT|NoAdapt,COT|NoAdapt_lo,COT|NoAdapt_hi
HTL,PTT,0.05,5,21,1136,67,0.5616537763902462,0.5396917255965986,0.5867239650926627,0.47937875463915985,0.4497969521660426,0.5097781453798834,0.549027866632931,0.5254291945805284,0.571688081271826,0.4708132966772506,0.4419481597933292,0.505202408994589,0.5413248643999556,0.5205218864178853,0.5641337871237082,0.5279563845257841,0.5053258136819301,0.552214469257562,0.5663535083556553,0.5193602831903051,0.621178237575641,0.5697149001750254,0.5229229095642692,0.6016666809492855,0.5149192314050184,0.4873764132737165,0.5459681410762746,0.5741290945834534,0.5273368510510003,0.6172374353522568,0.5017613728721273,0.47953645611018153,0.5250641511042369,0.541795304379837,0.5108595853359785,0.5682319276481997,0.46315482194913454,0.4426264723730469,0.4904843453435933,0.5204801300018129,0.4930102608457614,0.5478172805266708,0.5176759209322992,0.48918663231555914,0.5477812907397669,0.4298175330010892,0.39779730070450187,0.4721439430394511,0.02839003577506971,-0.02013139690170706,0.060603108596390266,-0.013037153120765699,-0.043734942473732705,0.02030859478295244,0.007775586227798059,-0.04660322784669134,0.04969640968352334,-0.03956349152782834,-0.061985721201433225,-0.01995902329718118,0.013838919854052945,-0.02451259543287973,0.047023582308517435,-0.1031986864065208,-0.15975982766859842,-0.051999393325176044,-0.020844734398142717,-0.04080589372427992,-0.0011445994077763783,-0.01028046359348489,-0.048886444160171315,0.02646116001964638,-0.13653597535456613,-0.1878553671249191,-0.0797438160106934,0.04923477017321243,-0.0026843694650840657,0.08761109973374229,-0.002756689527280809,-0.04049762458683603,0.03716438565464025,0.1443115615823642,0.08948692995822632,0.1852629472940411,0.03554047676585853,-0.0024726549974372625,0.0773226976598,-0.08227502175108631,-0.11531227416394423,-0.0515221967179152,-0.09084047971299558,-0.12683748985168747,-0.05141422542227044
HTL,PTT,0.5,8,21,1136,80,0.5709099881227369,0.5426970828419795,0.5912719744593931,0.6019017194482423,0.5610813286438052,0.6292661107499149,0.5714944196903089,0.5459786039336222,0.5909064240263044,0.5582908241767532,0.5194784440461906,0.590298068536794,0.5634716722615184,0.535389874967018,0.5865183909838206,0.5356206361060564,0.5120368712863188,0.5597581318193375,0.569091680009501,0.5351099189665588,0.6017201232250854,0.5365311263169604,0.5088065322504488,0.5581054228431479,0.5284006665973375,0.5019434977090743,0.5496300959559552,0.5256377618338115,0.4970827035194446,0.5485511833880479,0.6484954305447492,0.5970415558875789,0.6785326747862352,0.48327720282677555,0.4624810289313489,0.5022159069868848,0.4950588456702053,0.4610207119795963,0.5208587890500003,0.5997770677651605,0.558563949093191,0.6286822716305567,0.4657211182642563,0.43986672178717734,0.48759703004567445,0.46058962520267827,0.42118023180067077,0.4993792096015935,-0.02694054594455797,-0.04690985907773041,-0.00528837900442455,-0.007219969508718838,-0.03143404156068346,0.015394031249411449,-0.043453918175689554,-0.06844167001236368,-0.021917419595781237,0.08502375828323083,0.024634218372043343,0.12815195454493714,-0.052343433279280815,-0.08379088929962226,-0.019948264182895213,-0.07403283433929575,-0.12901810241290718,-0.026324882367906078,0.03630539550364209,-0.010177072533744835,0.07775362467544905,-0.0698995178418001,-0.10729896454932002,-0.03417931424138248,-0.10850205480682279,-0.15865235066780695,-0.05761055842870586,-0.06324594144820006,-0.10047725640177155,-0.021042423969792567,0.06267954833308126,0.034557347075906804,0.09197992719316499,0.06504813663113324,0.01730733323668842,0.10899924919275486,-0.0735010528509048,-0.10802420272267821,-0.028547196266447868,0.03099173132550548,-0.011928787408820812,0.06562456082900515,-0.012619163945983614,-0.043989807185991714,0.019699613799054612
HTL,RTT,0.05,2,30,2129,6,0.49646726330664154,0.4934004036550185,0.498702248945046,0.6746349505416863,0.5573956046368667,0.8258622143196372,0.5396647825404302,0.49646748076408714,0.604622931545304,0.6400730098916627,0.5270920178985891,0.7594163140673916,0.4975270843146491,0.49576114325741666,0.4989399458865443,0.49882242110221386,0.49787678440795596,0.4995295163275442,0.5003336473543728,0.4524573715861839,0.5879001974398154,0.7189119170984456,0.5993722946736476,0.8118288331421847,0.7220913801224682,0.6023440625930715,0.8141630126536992,0.7485672790076935,0.5662255142392202,0.9098601444498615,0.6534777830114618,0.4918115158178465,0.7429265670975445,0.5664939550949913,0.4765812578900545,0.6911570645541466,0.563550007850526,0.4747198285083266,0.6855829384387376,0.6156775003925263,0.45864070075979474,0.7080001935816121,0.6440571518291724,0.47303208209959285,0.8165703766444037,0.4679109750353273,0.33528965301694874,0.6041640774387327,0.2213848327837965,0.10055794865445493,0.31304649909290466,0.22326895902025434,0.10358857511024724,0.31505612930239774,0.24823363165332069,0.04890365096828262,0.4319414158893458,0.15595069869681266,-0.006483499432543664,0.24470613137070443,0.06767153399277748,-0.02178375941816312,0.1927097866296175,0.0632163604961532,-0.09413423982857447,0.2050850021610394,0.11815041607787724,-0.03980199423738797,0.2103587419636246,0.14523473072695858,-0.025786822461479557,0.31766819497310883,-0.0324226723190455,-0.23137353311198824,0.1292797675364365,0.10323441670591926,0.013297588216848455,0.2402586047231545,0.07803422829329576,-0.040610011539068444,0.24445455519813,0.2806563039723662,0.15803837389509706,0.45577944217157174,0.04745642958078189,-0.12249089710069119,0.14790630871141736,0.17816768723504478,0.060715420685347174,0.32873440547052846,0.14360574658502118,0.03102488017772347,0.26287142629141025
HTL,RTT,0.5,8,30,2129,47,0.5530366475691529,0.5119996774946003,0.5659982247124115,0.6745786725585331,0.5935718316925572,0.7292953934825401,0.6167879728476406,0.5606405233114145,0.6478469839344603,0.5745661990143168,0.5163509347307477,0.6211561664670092,0.567982656189276,0.5226106878991152,0.5908090424916747,0.569973827167539,0.5243827994303537,0.592629423472177,0.548685310965301,0.5022142649581713,0.5803086686372525,0.8053584886597737,0.744866086073929,0.8520427596572369,0.8101155078277024,0.7497572461518824,0.8566692229911922,0.7359510703738948,0.6613684162687415,0.7892542274740222,0.6577643618557418,0.5764123442552446,0.7091299914052432,0.6769576336554225,0.5945014170497369,0.7279411465067118,0.6031984939295476,0.5480411813555813,0.639810535460216,0.6736453405384395,0.6147822834491611,0.713609616087783,0.6917667269446551,0.6097575318510561,0.7470074567404112,0.508976744646586,0.45565183418345667,0.5455013345488526,0.23737583247049765,0.18996284324428403,0.2962818095076286,0.2401416806601634,0.19282164164205456,0.298941333443517,0.1872657594085938,0.11933186497873499,0.255065325343448,0.08978170566646582,0.02406192716653084,0.15153967268706214,0.10698380648788353,0.0376593152597393,0.17017062375115508,0.054513182964246565,-0.004856316760821455,0.1104038133628946,0.10566268434916348,0.06026463446313228,0.15552056582516305,0.12179289977711616,0.05619763865191864,0.18590730187273746,-0.039708566318715,-0.10002923465265091,0.023398263899239876,0.13171314812133417,0.08464628816490247,0.19532403613582186,0.11834878088304723,0.0743325198038292,0.19492048164313946,0.2269743257273088,0.16683945948797513,0.2898564900606757,0.13553683526916926,0.09106460107043854,0.21005739517269803,0.12154202498938016,0.054985323129887055,0.1864825290711109,0.021529551445163886,-0.02856378319276335,0.07896996062484227
HTL,WRM,0.05,2,14,508,32,0.5585885912172677,0.5070187757220176,0.5910130916502585,0.540065406793348,0.42168932195370057,0.6084433062927112,0.5513120839407604,0.4995105804513993,0.5837008928534464,0.5852487961862962,0.4470434348710833,0.660910694815296,0.5251843482542011,0.49741563841135605,0.5651571939582748,0.5257095583382347,0.4974218850441767,0.5654225222675625,0.5262293088579854,0.4932846135900541,0.5737586747689404,0.5914073262418851,0.5021151974142423,0.6375338468657089,0.6207386129261129,0.516306082004589,0.669920767089735,0.5799014107837637,0.4790428113775815,0.6473654248546293,0.5530516780516781,0.4874993475991649,0.5886753628291961,0.5606939356939358,0.46758741340373783,0.6165563580365057,0.4617420375692435,0.3999541160065268,0.5255634235406642,0.5564600840336135,0.46826368700774795,0.6094346427396139,0.5830866115792587,0.4755263902323193,0.6486485684278142,0.5107648453236688,0.43989595132136355,0.5585880967697708,0.06622297798768395,-0.030858339190398505,0.11122350360101575,0.09502905458787814,-0.020127751853266138,0.1475725160980077,0.053672101925778315,-0.043277045234143795,0.11321335506866988,0.02786732979747697,-0.054184026018743045,0.06517074995419807,0.034984377355701035,-0.06302459768173684,0.08066454311448167,-0.06448727128874188,-0.1458460872623512,0.010792397253756358,0.03127573577941234,-0.05933621696798388,0.0888997066915796,0.057377053241023934,-0.05246898208452138,0.11517203909822443,-0.01546446353431652,-0.10034038537856328,0.031457877718800896,0.03494724220827161,-0.07939375445416223,0.09892925226069119,0.0376520013468542,-0.03971695139898222,0.09786474137723672,0.06913656546009483,-0.030521416663679347,0.16829861823053432,0.08067320613276485,0.0008864309826137496,0.16165029650552468,-0.018523184423919647,-0.1402249996275016,0.06289875853971141,0.026660204969028545,-0.10994666261885909,0.12097639086797746
HTL,WRM,0.5,8,14,508,32,0.5660501750503857,0.5417299517579898,0.5855383286711977,0.6186788821576912,0.5762095756002448,0.6565872926124082,0.5630809700302021,0.5372255408094891,0.588570301424866,0.6069353280982713,0.5608565371308144,0.6514159925278068,0.5652673517892357,0.5442075974838868,0.5819574658256316,0.5217029884919667,0.5084871834122271,0.5379194696327163,0.544710476015115,0.5145776831674425,0.5743368881453685,0.6181494816317917,0.5765769378260444,0.6478878680326393,0.6157770756538394,0.5756443145995236,0.6450414155916211,0.6133510819410214,0.5644571917523628,0.6446859509962816,0.5886371879725302,0.5502680288887458,0.6206045421316768,0.5968449887128182,0.5566537901524158,0.6256605492096503,0.5377983884552224,0.501317971401661,0.572006789318643,0.5572239955438123,0.5121167029706581,0.5929635073193137,0.5993798716402261,0.5542630647237183,0.6304361578187411,0.5221868459746414,0.4765978838882153,0.5654105720153713,0.052882129842556025,0.023560654917297374,0.07760728619399955,0.09407408716187271,0.04941791102408953,0.1242132642236721,0.06864060592590637,0.025544360521895796,0.09466859290715146,0.023369836183294468,-0.008741239198975348,0.05521435765046955,0.07514200022085149,0.028964346621899874,0.10653388484237482,-0.006912087559892588,-0.04856307414613303,0.030689870865379745,-0.008043356245423405,-0.050093445966277586,0.028681794767116624,0.07767688314825938,0.026368615611634845,0.11040234324981754,-0.02252363004047364,-0.07471446031178866,0.025325358410923024,0.06092548608797943,0.02317008051911448,0.0993485651925873,0.01639720401361333,-0.013828827276011294,0.05387018354516478,0.09116423596638001,0.034868336514990626,0.1338238593222276,-0.002901806503851745,-0.04241225332589729,0.031850776987466294,0.052628707107305495,0.01494282347483839,0.09277744719266064,0.04088515304788565,-0.002196659739642867,0.08687337875353195
PTT,HTL,0.05,8,10,401,82,0.5485716138062353,0.5290431148857339,0.5678082277650124,0.5180661111891725,0.49668729844560816,0.5410982560058292,0.5471023315065066,0.5277297177666298,0.566168930367578,0.488235492385669,0.4713479402391978,0.5082950920074845,0.49864168195755953,0.4675471033078557,0.5291317053889527,0.5031682603278119,0.47106391603524156,0.5323742904307164,0.5029234903687895,0.4749201277743796,0.5284326653017349,0.5479314169207317,0.5195235371384925,0.5720126961466264,0.5397811134774381,0.5090846889121166,0.5636301679816901,0.5453285350749782,0.5161750655735758,0.5688388073887132,0.519236527878375,0.49933763302227413,0.5406433115741283,0.523246379791598,0.494729026154854,0.5486594692533819,0.49862805207403565,0.4840767409244834,0.5160669819933911,0.5136336371277143,0.49308816973216735,0.5332617194023512,0.5207774464808266,0.4935707397946194,0.5431123408205856,0.47483846035525257,0.45169334993889,0.49647322816727346,0.04928973496317213,0.021817231043373637,0.07277914551776204,0.036612853149626146,0.013498005193271378,0.0551932379321853,0.04240504470618878,0.01089758962183918,0.06730471905101076,0.020594845920815508,-0.013520293635237024,0.0569963198561271,0.020078119463786126,-0.014923585223519942,0.055322411760708796,-0.004295438294753817,-0.033712946232633156,0.029417130447647155,0.014991955170154725,-0.02197244542952908,0.05334437397723129,0.017609186153014655,-0.018396174725748858,0.05152199739797686,-0.028085030013536905,-0.06494584329851864,0.008482467624120084,0.0342977797930174,-7.326813735626085e-05,0.06384919008008183,0.01900366699661149,-0.00987326645052405,0.045849994337061765,0.07049007471972568,0.03339894197422095,0.1009097990191525,0.021715002288265617,-0.018876490080226155,0.05245502710390752,-0.030505502617062863,-0.05856525856483278,-0.0006207189649344439,-0.060336121420566324,-0.08343256834986117,-0.03356555128033357
PTT,HTL,0.5,8,10,401,82,0.5485716138062353,0.5290431148857339,0.5678082277650124,0.5649527147038791,0.537065457557896,0.591577406638263,0.5382406429601625,0.51872747344188,0.5563415766866403,0.4921221190588895,0.468648541902258,0.5192981726817926,0.4895211696344392,0.4572520084090912,0.5183428805468847,0.5031682603278119,0.47106391603524156,0.5323742904307164,0.5028111530414022,0.47574725568268605,0.5317627529527771,0.5224460663632531,0.4962418124985676,0.5495756762461473,0.5218442526346746,0.49322831489443963,0.548439061082452,0.533959814134915,0.5095575338757803,0.5604951477384306,0.5810328743394909,0.5540977895727287,0.6053930662220364,0.5621567243899981,0.537108907903944,0.586045146888524,0.5439792497407285,0.518251874245332,0.5695882389313008,0.5596147975683755,0.5360531109880252,0.5835379155812201,0.551311897622439,0.5263322512839461,0.5772061575952039,0.5307825429139622,0.5180057232717171,0.5417928942519135,0.03292489672881388,0.01199047186015923,0.05647975482589164,0.018675992306862677,0.0009120635337645733,0.037057281656539605,0.031148661093512775,0.005350698237067542,0.055988429594742636,0.09151170470505171,0.056748084820625586,0.1308666194556608,0.05898846406218616,0.026238158414364297,0.09369462521372378,0.041168096699326306,0.005455777051301763,0.07211327892336093,0.07009362793393631,0.03126427813009124,0.11371240728145258,0.04814363729462712,0.009489327538884509,0.09231156332250158,0.027971389872559982,-0.002816693892465058,0.0550278599541286,-0.03716873120512243,-0.07212904894535349,-0.0025478168613561375,-0.02946764498776444,-0.06576041134623194,0.0038078585761166764,0.003177271220952793,-0.02107645002062554,0.0331343688556516,-0.04310846206920449,-0.08090560108089445,-0.0068053252873887015,0.016381100897643774,-0.01126286021561873,0.04259003277437218,-0.05644949474734584,-0.08668441831689255,-0.023272953879054134
PTT,RTT,0.05,2,30,2129,6,0.44747998115873766,0.4256756169975664,0.46449608111374735,0.6746349505416863,0.5573956046368667,0.8258622143196372,0.5296357355942849,0.44058267809353896,0.7005216662980982,0.7323559428481707,0.6635614301299471,0.7929532236623462,0.45548751766368345,0.43480022045975625,0.4713848044150622,0.46137541215261424,0.442447561532619,0.475971584197482,0.4892644057151829,0.4324859860933937,0.5557365591410035,0.6540273198304286,0.4875109020040639,0.7707927776883692,0.7398335688491129,0.5468241766330119,0.8722114016773514,0.6781480609200816,0.49353949979227496,0.8310632043035243,0.6581880986026063,0.495217251779973,0.7457659956596696,0.476075522059978,0.42088936761096496,0.5384649978591369,0.5560135029046946,0.4699139654652935,0.633911163679201,0.6279243209295022,0.47042941705848795,0.7182617771509169,0.4884401004867326,0.4327024548513994,0.5529323872671198,0.588063275239441,0.40713858591650853,0.7480613957822405,0.19853980216674516,0.03478988742607586,0.31517777926171264,0.27845815669649865,0.08833600165576097,0.40853485920861055,0.1888836552048987,0.026064063766755276,0.3404888395982482,0.20270058093892285,0.043679021945704014,0.29848709078073826,0.014700109907363756,-0.038076745822045746,0.08103174077529757,0.06674909718951172,-0.03979260076529627,0.16703278005473082,0.17243680326581878,0.015964836547416813,0.2662537836902947,0.027064688334118348,-0.025210382748713723,0.09486107150247369,0.09879886952425809,-0.06490495656743588,0.256460831480693,0.026102998900926377,-0.16870288257857624,0.19891413340971176,0.2513934683623803,0.07740624988454993,0.3921467722959545,0.0900847856806406,-0.02666169414078905,0.19790105078364673,0.06519861830742657,-0.23318980654397006,0.2524388071381659,0.22715496938294866,0.10923881325260722,0.378460528342882,0.2848759616894331,0.2186688242263707,0.3437740713949765
PTT,RTT,0.5,8,30,2129,47,0.4633465627826733,0.44969618862859717,0.47439304946520033,0.6745786725585331,0.5935718316925572,0.7292953934825401,0.5855779998431845,0.5316548378406253,0.6184531903508285,0.5161071915896054,0.459045662893442,0.5600282147330398,0.48833528135580606,0.4622480065124283,0.5091375873647884,0.5096686403765505,0.4754270573354715,0.5343827106567363,0.4833876952549085,0.45928421799493846,0.5009765932025334,0.5844901430784898,0.5208895379819801,0.6435501246011806,0.715329406956073,0.6377091524734343,0.7681317112259902,0.5869163527965906,0.522754986199632,0.6509584229581362,0.7163343755539088,0.6382985017310078,0.7735397153628998,0.6668864815168206,0.5956523053252831,0.7224849781767888,0.617385836406438,0.5574575605931801,0.6571640923935564,0.7054284504636008,0.6535548492498648,0.76026807815106,0.633411625783256,0.5592455380984517,0.6833345316172247,0.4938381522670696,0.436590889258521,0.5303870561145169,0.09615486172268373,0.04568611349267795,0.15087513338864597,0.2056607665795226,0.13582727047192567,0.25982288251207963,0.10352865754168211,0.05015322659931037,0.16639481285208374,0.22799909419810271,0.14415799163675608,0.2963971428304527,0.15721784114027015,0.09180424237733659,0.2196920399677181,0.13399814115152947,0.07375428506529388,0.18358373307728681,0.21709316910779475,0.15969463202343634,0.28569427453697477,0.12374298540670559,0.054115050727238594,0.18252472938938044,0.01045045701216113,-0.04623854694896549,0.056144099236141685,-0.12093830738511102,-0.2273204414953517,-0.0206035045106397,0.081917781172817,0.03586326051518729,0.1248715335589171,0.09307820052952098,0.02358617906458358,0.17484979534269435,0.040750734397539956,-0.034699717074699106,0.12309678712956056,0.21123210977585982,0.13130588305190224,0.27075715342146556,0.05276062880693211,-0.004555252901909268,0.09887965489092199
