Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,none-PCA,arc segments,16.0,0.45097106397268705,0.05952380952380952,0.35294117647058826
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-HS4,arc labels,,0.4497509374825096,0.045112781954887216,0.1411764705882353
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-HSsrc,arc segments,,0.44784798791067326,0.044444444444444446,0.1411764705882353
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-PCA,arc segments,16.0,0.4610846812559467,0.05501618122977346,0.2
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-HS4,arc labels,,0.46735322102199583,0.05240174672489083,0.1411764705882353
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-HSsrc,arc labels,,0.4753120277606761,0.058577405857740586,0.16470588235294117
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-PCA,arc labels,64.0,0.46714053842279063,0.058823529411764705,0.2235294117647059
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-HS4,arc labels,,0.50104662226451,0.07555555555555556,0.2
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-HSsrc,arc labels,,0.5007891643812615,0.07526881720430108,0.24705882352941178
Left,random,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-PCA,arc labels,64.0,0.44591705378630997,0.06222222222222222,0.49411764705882355
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,TargetOnly,arc labels,,0.4420551855375833,0.04871060171919771,0.2
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,Source+Target,arc labels,,0.5006100632450887,0.07563025210084033,0.10588235294117647
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,COT,arc labels,,0.49617731012481114,0.07396870554765292,0.611764705882353
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,none-HS4,arc labels,,0.4690490849051324,0.06437768240343347,0.35294117647058826
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,none-HSsrc,nothing,,0.45502882408910283,0.05084745762711865,0.17647058823529413
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,none-PCA,arc segments,16.0,0.4594056081043264,0.06237816764132553,0.3764705882352941
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-HS4,arc labels,,0.44499356355291875,0.043478260869565216,0.1411764705882353
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-HSsrc,arc segments,,0.4478032126266301,0.0391304347826087,0.10588235294117647
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-PCA,arc segments,16.0,0.45870599429115133,0.054140127388535034,0.2
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-HS4,arc labels,,0.4614708680808194,0.04824561403508772,0.12941176470588237
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-HSsrc,arc labels,,0.4749650193093412,0.056338028169014086,0.1411764705882353
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-PCA,arc labels,64.0,0.4780824984608496,0.06333333333333334,0.2235294117647059
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-HS4,arc labels,,0.4926568534169139,0.0703125,0.21176470588235294
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-HSsrc,arc labels,,0.497934740023507,0.07368421052631578,0.24705882352941178
Left,random,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-PCA,arc labels,64.0,0.5162086528236414,0.07783018867924528,0.7764705882352941
