Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,COT,arc labels,,0.46952482229809145,0.06451612903225806,0.35294117647058826
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,none-Ang-HS4,arc labels,,0.48672972519169416,0.06511627906976744,0.16470588235294117
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,none-Ang-PCA,arc segments,8.0,0.4666200257457883,0.056338028169014086,0.18823529411764706
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-Ang-HS4,arc labels,,0.4923490233391168,0.06504065040650407,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-Ang-HSsrc,arc segments,,0.4864218951138971,0.04878048780487805,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTu-Ang-PCA,arc segments,8.0,0.5098225779369788,0.08849557522123894,0.11764705882352941
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-Ang-HS4,arc labels,,0.49135277326915544,0.058823529411764705,0.058823529411764705
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-Ang-HSsrc,arc labels,,0.4859461577209381,0.04819277108433735,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,QOTc-Ang-PCA,arc labels,64.0,0.5332232607600604,0.1111111111111111,0.18823529411764706
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-Ang-HS4,arc labels,,0.3809537135501203,0.04874651810584958,0.4117647058823529
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-Ang-HSsrc,arc labels,,0.3819051883360385,0.04888268156424581,0.4117647058823529
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,SDM-Ang-PCA,arc labels,64.0,0.47886046902110035,0.06315789473684211,0.21176470588235294
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,TargetOnly,arc labels,,0.4420551855375833,0.04871060171919771,0.2
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,Source+Target,arc labels,,0.5006100632450887,0.07563025210084033,0.10588235294117647
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,COT,arc labels,,0.49617731012481114,0.07396870554765292,0.611764705882353
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,none-Ang-HS4,arc labels,,0.48387530083393965,0.06334841628959276,0.16470588235294117
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,none-Ang-PCA,arc segments,8.0,0.446336822074215,0.05,0.2
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-Ang-HS4,arc labels,,0.5056696703419712,0.08421052631578947,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-Ang-HSsrc,arc segments,,0.4859461577209381,0.04819277108433735,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTu-Ang-PCA,arc segments,4.0,0.38652823641349976,0.04436860068259386,0.3058823529411765
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-Ang-HS4,arc labels,,0.504242458163094,0.08163265306122448,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-Ang-HSsrc,arc labels,,0.4988358426148766,0.07291666666666667,0.08235294117647059
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,QOTc-Ang-PCA,arc labels,64.0,0.4981921979067555,0.0735930735930736,0.2
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-Ang-HS4,arc labels,,0.48677450047573745,0.06666666666666667,0.2
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-Ang-HSsrc,arc labels,,0.3819051883360385,0.04888268156424581,0.4117647058823529
Left,random,Ang,HTL,PTT,0,0.3,1,1136,85,682,33,SDM-Ang-PCA,arc labels,64.0,0.4961157441092517,0.07207207207207207,0.18823529411764706
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,TargetOnly,arc labels,,0.5066771142329434,0.07728337236533958,0.38823529411764707
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,Source+Target,arc labels,,0.4780769015503442,0.05228758169934641,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,COT,arc labels,,0.49094419880226114,0.07282913165266107,0.611764705882353
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HS4,arc labels,,0.4854760172384844,0.06493506493506493,0.17647058823529413
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-PCA,arc segments,16.0,0.40840655957911237,0.03816793893129771,0.17647058823529413
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HS4,arc labels,,0.5070968825208485,0.08695652173913043,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HSsrc,arc segments,,0.4864218951138971,0.04878048780487805,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-PCA,arc segments,8.0,0.517781384675659,0.0975609756097561,0.1411764705882353
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HS4,arc labels,,0.5094755694856439,0.09195402298850575,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HSsrc,arc labels,,0.4969328930430403,0.07,0.08235294117647059
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-PCA,arc labels,64.0,0.49412884087983433,0.07167235494880546,0.24705882352941178
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-HS4,arc labels,,0.48379134717635863,0.06597222222222222,0.2235294117647059
Left,random,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-HSsrc,arc labels,,0.38142945094307945,0.04881450488145049,0.4117647058823529
