Source,Target,AdaptFrac,nRot,Block,nEval,nEvalPos,NoAdapt,NoAdapt_lo,NoAdapt_hi,TargetOnly,TargetOnly_lo,TargetOnly_hi,Source+Target,Source+Target_lo,Source+Target_hi,COT,COT_lo,COT_hi,none-Ang-HS4,none-Ang-HS4_lo,none-Ang-HS4_hi,none-Ang-HSsrc,none-Ang-HSsrc_lo,none-Ang-HSsrc_hi,none-Ang-PCA,none-Ang-PCA_lo,none-Ang-PCA_hi,QOTu-Ang-HS4,QOTu-Ang-HS4_lo,QOTu-Ang-HS4_hi,QOTu-Ang-HSsrc,QOTu-Ang-HSsrc_lo,QOTu-Ang-HSsrc_hi,QOTu-Ang-PCA,QOTu-Ang-PCA_lo,QOTu-Ang-PCA_hi,QOTc-Ang-HS4,QOTc-Ang-HS4_lo,QOTc-Ang-HS4_hi,QOTc-Ang-HSsrc,QOTc-Ang-HSsrc_lo,QOTc-Ang-HSsrc_hi,QOTc-Ang-PCA,QOTc-Ang-PCA_lo,QOTc-Ang-PCA_hi,SDM-Ang-HS4,SDM-Ang-HS4_lo,SDM-Ang-HS4_hi,SDM-Ang-HSsrc,SDM-Ang-HSsrc_lo,SDM-Ang-HSsrc_hi,SDM-Ang-PCA,SDM-Ang-PCA_lo,SDM-Ang-PCA_hi,QOTu-Ang-HS4|none-Ang-HS4,QOTu-Ang-HS4|none-Ang-HS4_lo,QOTu-Ang-HS4|none-Ang-HS4_hi,QOTu-Ang-HSsrc|none-Ang-HSsrc,QOTu-Ang-HSsrc|none-Ang-HSsrc_lo,QOTu-Ang-HSsrc|none-Ang-HSsrc_hi,QOTu-Ang-PCA|none-Ang-PCA,QOTu-Ang-PCA|none-Ang-PCA_lo,QOTu-Ang-PCA|none-Ang-PCA_hi,QOTc-Ang-HS4|none-Ang-HS4,QOTc-Ang-HS4|none-Ang-HS4_lo,QOTc-Ang-HS4|none-Ang-HS4_hi,QOTc-Ang-HSsrc|none-Ang-HSsrc,QOTc-Ang-HSsrc|none-Ang-HSsrc_lo,QOTc-Ang-HSsrc|none-Ang-HSsrc_hi,QOTc-Ang-PCA|none-Ang-PCA,QOTc-Ang-PCA|none-Ang-PCA_lo,QOTc-Ang-PCA|none-Ang-PCA_hi,SDM-Ang-HS4|none-Ang-HS4,SDM-Ang-HS4|none-Ang-HS4_lo,SDM-Ang-HS4|none-Ang-HS4_hi,SDM-Ang-HSsrc|none-Ang-HSsrc,SDM-Ang-HSsrc|none-Ang-HSsrc_lo,SDM-Ang-HSsrc|none-Ang-HSsrc_hi,SDM-Ang-PCA|none-Ang-PCA,SDM-Ang-PCA|none-Ang-PCA_lo,SDM-Ang-PCA|none-Ang-PCA_hi,QOTu-Ang-HS4|SDM-Ang-HS4,QOTu-Ang-HS4|SDM-Ang-HS4_lo,QOTu-Ang-HS4|SDM-Ang-HS4_hi,QOTu-Ang-HSsrc|SDM-Ang-HSsrc,QOTu-Ang-HSsrc|SDM-Ang-HSsrc_lo,QOTu-Ang-HSsrc|SDM-Ang-HSsrc_hi,QOTu-Ang-PCA|SDM-Ang-PCA,QOTu-Ang-PCA|SDM-Ang-PCA_lo,QOTu-Ang-PCA|SDM-Ang-PCA_hi,QOTu-Ang-HSsrc|TargetOnly,QOTu-Ang-HSsrc|TargetOnly_lo,QOTu-Ang-HSsrc|TargetOnly_hi,TargetOnly|NoAdapt,TargetOnly|NoAdapt_lo,TargetOnly|NoAdapt_hi,COT|NoAdapt,COT|NoAdapt_lo,COT|NoAdapt_hi
HTL,PTT,0.05,5,21,1136,67,0.5616537763902462,0.5396917255965986,0.5867239650926627,0.47937875463915985,0.4497969521660426,0.5097781453798834,0.549027866632931,0.5254291945805284,0.571688081271826,0.4708132966772506,0.4419481597933292,0.505202408994589,0.5250311096296915,0.5004590719540141,0.5516921583139327,0.5187916635604131,0.4995655400273541,0.5409208103794658,0.5126912414408354,0.49350414102033324,0.5406651960549268,0.5711733489563582,0.5420218313736618,0.5969070612539893,0.5717860500199584,0.5412831746511806,0.6009452383167927,0.5933750010568118,0.5711700914465667,0.613997898978391,0.4464796557263395,0.4228434023586823,0.4744963910805779,0.40268169854615,0.37608901077797513,0.4329207292054799,0.47991034048831605,0.44981305251354337,0.5173430505989783,0.4594203893268175,0.4348127230900373,0.48577330003755853,0.4630885919220319,0.4208009065355481,0.5027997730651653,0.4930928226075032,0.46769505933790945,0.5224605688978938,0.04614223932666672,0.016328632733625684,0.07545783825001308,0.05299438645954535,0.022621578423675782,0.08187189158111065,0.0806837596159764,0.04763290917035917,0.10649337280772915,-0.07855145390335194,-0.09973427471722675,-0.054443340943393974,-0.11610996501426307,-0.14159859535590236,-0.08716306976699731,-0.0327809009525194,-0.07769908630053858,0.00779842246935459,-0.06561072030287396,-0.08892406811103201,-0.040281110290121845,-0.055703071638381174,-0.09699442545386144,-0.01790937143402947,-0.019598418833332243,-0.059219762354871856,0.01856183600079903,0.11175295962954068,0.07331558305044615,0.14683302409988214,0.10869745809792652,0.05655616865077545,0.16215410696609533,0.10028217844930865,0.06165862095238017,0.13185384995900779,0.09240729538079856,0.05369795771851523,0.12963312970899898,-0.08227502175108631,-0.11531227416394423,-0.0515221967179152,-0.09084047971299558,-0.12683748985168747,-0.05141422542227044
HTL,PTT,0.5,8,21,1136,80,0.5709099881227369,0.5426970828419795,0.5912719744593931,0.6019017194482423,0.5610813286438052,0.6292661107499149,0.5714944196903089,0.5459786039336222,0.5909064240263044,0.5582908241767532,0.5194784440461906,0.590298068536794,0.5507868861768802,0.5282061462393716,0.5725798746459977,0.5258455955373301,0.5082436667067395,0.5440631922711363,0.5077512587351094,0.4851115356388976,0.5321230633551829,0.5614911085055941,0.5350504415304251,0.5806639596975874,0.5489706446550283,0.5229600591074463,0.568368506459688,0.60106889394125,0.566627833610688,0.6239246734685906,0.6650510834009888,0.6086518653085055,0.6963980505136312,0.6156823581210745,0.5783230055865073,0.640204639293506,0.5494188250841504,0.5011883418507178,0.5863462585577705,0.6179580096813477,0.5710545592415236,0.6448816476196911,0.5791422300953705,0.5395900912527758,0.6053829282306161,0.5285169079205596,0.48387478944637324,0.5599126960657853,0.01070422232871393,-0.003671966015202485,0.021452998615398525,0.023125049117698193,0.004399182741165355,0.03731000658763217,0.09331763520614056,0.05492333814699341,0.11767304631521935,0.11426419722410863,0.05246852839347882,0.14734038769925445,0.0898367625837444,0.05328963649070676,0.11370123574192971,0.04166756634904101,-0.01490095810055397,0.08522810977358877,0.06717112350446752,0.012912511081806318,0.10080547726402075,0.053296634558040346,0.004944311394236761,0.08960012765206953,0.020765649185450208,-0.034713236073580504,0.060523286631994334,-0.05646690117575359,-0.09188262436490717,-0.004986913898753742,-0.030171585440342152,-0.06728458087948079,0.01423744229323027,0.07255198602069035,0.03188206862828476,0.1161627763663253,-0.05293107479321402,-0.08633900016292484,-0.008468061959595779,0.03099173132550548,-0.011928787408820812,0.06562456082900515,-0.012619163945983614,-0.043989807185991714,0.019699613799054612
HTL,RTT,0.05,2,30,2129,6,0.49646726330664154,0.4934004036550185,0.498702248945046,0.6746349505416863,0.5573956046368667,0.8258622143196372,0.5396647825404302,0.49646748076408714,0.604622931545304,0.6400730098916627,0.5270920178985891,0.7594163140673916,0.49705605275553466,0.49457124941775765,0.4989394455791418,0.5753257968283875,0.4918712850111526,0.767115820036105,0.513581409954467,0.35835606776302503,0.6545073681698935,0.5956586591301617,0.46851781355337724,0.7646013668557984,0.5961296906892761,0.46824267154194826,0.7625373131729415,0.8111555974250275,0.6568963405044613,0.9065524288834905,0.5967184801381693,0.43369988105357626,0.7658342802798562,0.6475506358926049,0.49667644449478415,0.7969225012774102,0.6146176793845188,0.48079753490823096,0.7939145518597112,0.6394449678128434,0.5496980644057927,0.6994161172283279,0.6513188883655205,0.5050285083898179,0.8017070442546949,0.5774258125294395,0.4489896537354224,0.6985159381190702,0.09860260637462703,-0.028384219715802832,0.26765832109390664,0.020803893860888656,-0.07085257428177816,0.09515145963751391,0.2975741874705605,0.1097303725615606,0.4671997450756686,0.09966242738263464,-0.06381153607997089,0.2676887856276635,0.0722248390642174,-0.17635943705601154,0.17440691585159734,0.10103626943005184,-0.0985585908939848,0.4030091580034397,0.14238891505730877,0.05224246926468263,0.201903337291562,0.07599309153713307,-0.1738287331427367,0.17717128735393511,0.06384440257497248,-0.09865696302437937,0.24222666512776575,-0.04378630868268174,-0.17104278972454587,0.11263904988947107,-0.05518919767624442,-0.22211250002766947,0.15444204779212584,0.23372978489558804,0.07087833476164623,0.39967227195190036,-0.07850525985241019,-0.1936757765584271,0.00716460242447415,0.17816768723504478,0.060715420685347174,0.32873440547052846,0.14360574658502118,0.03102488017772347,0.26287142629141025
HTL,RTT,0.5,8,30,2129,47,0.5530366475691529,0.5119996774946003,0.5659982247124115,0.6745786725585331,0.5935718316925572,0.7292953934825401,0.6167879728476406,0.5606405233114145,0.6478469839344603,0.5745661990143168,0.5163509347307477,0.6211561664670092,0.6008844407010204,0.5476109000068906,0.6583791111209407,0.5948898040742294,0.5452324468452264,0.6586928122960112,0.5138675635560589,0.47704318091072295,0.5462058742471502,0.6440341827116987,0.5864662894330863,0.6921860228841871,0.641468548793435,0.5799300309115596,0.6901406231637164,0.6236326281304202,0.5670628754645047,0.6705957161564149,0.6309643263511191,0.5523514013199248,0.6933718078587667,0.5995872518789279,0.5415679215612188,0.6614348907085915,0.6226482157503069,0.5636419471458379,0.6849062154103486,0.6471681223221153,0.5738786446997904,0.7008640964627576,0.6305249428255836,0.569100200158567,0.6805439197875073,0.5828504403454764,0.5251653787090261,0.6111768776003729,0.04314974201067823,-0.0019374269502349106,0.08529288260433328,0.046578744719205534,-0.002487955320753865,0.08781825318027449,0.1097650645743613,0.04671841951330498,0.16919640694004187,0.03007988565009867,-0.0418261405568087,0.0942888786427564,0.004697447804698496,-0.03891588045960252,0.0506675694708357,0.10878065219424804,0.040161723956227594,0.18738467483874802,0.04628368162109486,-0.012473569660120573,0.09830389020813608,0.035635138751354156,-0.013757074027489923,0.0785756978939204,0.0689828767894175,0.004157986325419645,0.11239664804325006,-0.003133939610416636,-0.051855679978278224,0.05483102298625507,0.010943605967851378,0.005048356655646802,0.015588877400993361,0.0407821877849438,-0.004883478301485755,0.11208906058063738,-0.03311012376509814,-0.10112201420748812,0.05564720286525009,0.12154202498938016,0.054985323129887055,0.1864825290711109,0.021529551445163886,-0.02856378319276335,0.07896996062484227
HTL,WRM,0.05,2,14,508,32,0.5585885912172677,0.5070187757220176,0.5910130916502585,0.540065406793348,0.42168932195370057,0.6084433062927112,0.5513120839407604,0.4995105804513993,0.5837008928534464,0.5852487961862962,0.4470434348710833,0.660910694815296,0.5250990172865173,0.4839507269656223,0.5951689541588502,0.5163595085470085,0.47871820138946664,0.5879298170964837,0.5266801071029013,0.4326653212149021,0.5900140642027433,0.5868996369915488,0.5431679161977757,0.6264812201929881,0.5873866301256008,0.5472137753174656,0.6263816316119254,0.5315421675715792,0.4277454164186252,0.5876758063492238,0.5096731296179826,0.4695841939782561,0.5658709711212674,0.43712657591334064,0.3728343900946344,0.5013212059383233,0.48625677531927536,0.46588093627078847,0.5121972437460143,0.5018382352941176,0.47703840308623885,0.550323854695057,0.45509905206596385,0.3943369417357904,0.5412276513026609,0.48150002883458765,0.41279358517455994,0.5424081688825145,0.06180061970503148,-0.020108439580620013,0.11231459689241126,0.07102712157859226,-0.010524551522445814,0.12146734226892411,0.004862060468677987,-0.1217693010703473,0.1216962814014699,-0.015425887668534699,-0.07178442174215122,0.04330443208533782,-0.07923293263366787,-0.16576172563492342,-0.008071872651752318,-0.04042333178362589,-0.10879561986339582,0.064693545786843,-0.02326078199239967,-0.0971165650639029,0.043269115229032894,-0.06126045648104467,-0.11349543822658548,0.006371042060339005,-0.045180078268313606,-0.12950079963270095,0.07574538255519385,0.08506140169743115,0.013425563888710955,0.1313678034109343,0.13228757805963692,0.025315452984313227,0.21299500867490595,0.05004213873699159,-0.052366919506652995,0.11808715770897407,0.04732122333225275,-0.028304241956713896,0.17363657122331683,-0.018523184423919647,-0.1402249996275016,0.06289875853971141,0.026660204969028545,-0.10994666261885909,0.12097639086797746
HTL,WRM,0.5,8,14,508,32,0.5660501750503857,0.5417299517579898,0.5855383286711977,0.6186788821576912,0.5762095756002448,0.6565872926124082,0.5630809700302021,0.5372255408094891,0.588570301424866,0.6069353280982713,0.5608565371308144,0.6514159925278068,0.5336960883185188,0.5147541019012157,0.5564304778493291,0.506807880487077,0.48856493096790815,0.5360391175307511,0.49135207001939013,0.4439245138321023,0.5275735158805226,0.5888386453493459,0.549093707857809,0.6198369151098257,0.5655439569773176,0.5300373620734696,0.5965223478070433,0.5697642502215503,0.525239044112329,0.6069793827227651,0.5770214860125955,0.5304934285940985,0.6126298765684527,0.5286850902243299,0.4922948825773011,0.5656198078090584,0.5426629439645612,0.5067883383228043,0.5719295025861788,0.5882111536838709,0.5549736297765647,0.621620974887114,0.5637681102678955,0.5391196324055328,0.5957157733724227,0.605678339236499,0.5546318839740743,0.6343713610892003,0.055142557030827155,0.01736430433613222,0.0852660418659063,0.058736076490240596,0.015589156593153793,0.09293039928170636,0.07841218020216018,0.03623495533143689,0.12534493297919078,0.04332539769407673,-0.0017103520685449896,0.07951196632663868,0.021877209737252823,-0.019389929121946932,0.06197775705602704,0.05131087394517103,-0.000843273199552255,0.10790910462995636,0.05451506536535211,0.019042390309606482,0.08980317996816939,0.056960229780818494,0.018179918883568614,0.09423422164158873,0.11432626921710892,0.0557588310538772,0.16293157488335575,0.000627491665475044,-0.04688836859926773,0.037668173439080875,0.001775846709422102,-0.03931790601232775,0.030212151062212565,-0.03591408901494875,-0.07183352493133273,0.015145545935651848,-0.05313492518037355,-0.10064794295545931,-0.004708654290032713,0.052628707107305495,0.01494282347483839,0.09277744719266064,0.04088515304788565,-0.002196659739642867,0.08687337875353195
PTT,HTL,0.05,8,10,401,82,0.5485716138062353,0.5290431148857339,0.5678082277650124,0.5180661111891725,0.49668729844560816,0.5410982560058292,0.5471023315065066,0.5277297177666298,0.566168930367578,0.488235492385669,0.4713479402391978,0.5082950920074845,0.5063272570295491,0.475184055014217,0.5356065875564245,0.5007125519620399,0.4677757630042632,0.5295666807604948,0.4649520343648359,0.43789231011100316,0.48494703678157364,0.5539237533580522,0.523308326272764,0.5817093148813448,0.5502951927588451,0.5209599897133751,0.5786846594460089,0.5444615892672665,0.518346428080794,0.5699897729205357,0.4928113388293573,0.473179712607242,0.5147153301639028,0.531095869067333,0.5093557881472431,0.5525103818075165,0.49774957227625277,0.47576719012582086,0.5198353269773077,0.49844955536377433,0.4837899367071206,0.5149169244320061,0.5305345639434615,0.5085635873751004,0.5562941432350369,0.499688575774897,0.4775872876632108,0.524392965025392,0.04759649632850316,0.022674512509047878,0.07422270522316447,0.04958264079680519,0.030811314472112664,0.07180959486065779,0.07950955490243061,0.05132027643894056,0.11351671214960901,-0.013515918200191768,-0.05034315395138079,0.027244937371078113,0.030383317105293073,-0.0026200309604346244,0.06914145371710438,0.032797537911416874,0.003845844737822918,0.07058567342536215,-0.007877701665774728,-0.04097253954097876,0.02853718624838141,0.029822011981421648,-0.0111717189863869,0.07692952365123802,0.034736541410061106,0.006419227887147161,0.07190941135341752,0.055474197994277885,0.02044752214118461,0.08513974683708563,0.01976062881538354,-0.023164347664121787,0.05701555339272772,0.04477301349236951,0.008537943332299763,0.07893686192636054,0.032229081569672635,-0.005569508406028098,0.06761444749802471,-0.030505502617062863,-0.05856525856483278,-0.0006207189649344439,-0.060336121420566324,-0.08343256834986117,-0.03356555128033357
PTT,HTL,0.5,8,10,401,82,0.5485716138062353,0.5290431148857339,0.5678082277650124,0.5649527147038791,0.537065457557896,0.591577406638263,0.5382406429601625,0.51872747344188,0.5563415766866403,0.4921221190588895,0.468648541902258,0.5192981726817926,0.500254415560245,0.469774288215163,0.5321450331203498,0.5007125519620399,0.4677757630042632,0.5295666807604948,0.4795723265723412,0.4532419725802192,0.5027650621990207,0.5428517008878394,0.5116454828133397,0.5737924300922409,0.544188144559208,0.513392348527389,0.5748610744035999,0.49791813542457736,0.4706676006628331,0.5245206811466603,0.5368268879286441,0.5116585246451462,0.5630903898596599,0.5419660699646183,0.5244330389630828,0.5623464920915429,0.5378470872227811,0.5102929635139022,0.5618221995648713,0.5636708425796083,0.536928095908752,0.5904786864633242,0.5510113703324362,0.5300271098098235,0.5760156294221883,0.5462031458749906,0.5199865417405174,0.5703071122555807,0.042597285327594436,0.023081918127504618,0.06126699961748679,0.043475592597168156,0.02679117702909794,0.06241975824064574,0.018345808852236134,-0.011355847278143828,0.05136793162570762,0.03657247236839911,-0.007015664168570268,0.08055038778353513,0.04125351800257837,0.012530779272887777,0.07625384607119089,0.05827476065043985,0.019403547403460265,0.09866365790460412,0.06341642701936334,0.01817139200225855,0.10724158042907035,0.05029881837039629,0.012995009543557645,0.09634341969130676,0.06663081930264941,0.02997372402680699,0.10503773589727647,-0.020819141691768905,-0.06282953913462098,0.02188744113576104,-0.0068232257732281365,-0.04744678558311487,0.028708954181387473,-0.04828501045041328,-0.09034785056133413,-0.004055609645253483,-0.020764570144671035,-0.06271986181690604,0.018785305579148825,0.016381100897643774,-0.01126286021561873,0.04259003277437218,-0.05644949474734584,-0.08668441831689255,-0.023272953879054134
PTT,RTT,0.05,2,30,2129,6,0.44747998115873766,0.4256756169975664,0.46449608111374735,0.6746349505416863,0.5573956046368667,0.8258622143196372,0.5296357355942849,0.44058267809353896,0.7005216662980982,0.7323559428481707,0.6635614301299471,0.7929532236623462,0.45395666509656146,0.43109441748870947,0.4718085278911813,0.45619406500235515,0.43475940766134297,0.47278948103221674,0.4525435704192181,0.4330722019779316,0.4692861516446986,0.7879572931386403,0.6077495127574366,0.8855958252481011,0.7881928089181975,0.6079729592414035,0.8858662194378222,0.7722954937980845,0.5912869558022128,0.8690636070499178,0.6033325482807348,0.4765668429250446,0.783957641740639,0.6455291254514053,0.4805857067982077,0.7775119195515993,0.6210943633223426,0.4599113946556054,0.7083637232896399,0.6088475427853666,0.4540051574491271,0.7032823584749045,0.7776927304129377,0.64505770934673,0.8426731197837913,0.6362655047888209,0.5098398339197776,0.6904723415822868,0.3340006280420788,0.15282455054715993,0.42910665510101204,0.3319987439158424,0.15084067531717701,0.4269369034406216,0.3197519233788664,0.13636623844988568,0.41523483630194735,0.14937588318417333,0.01858211746188874,0.3289800125568395,0.18933506044905013,0.024077883076091062,0.32102892266178396,0.16855079290312447,0.00873955331733496,0.26164370723605324,0.1548908776888051,0.0018706215963320628,0.2508923802597373,0.3214986654105826,0.19373917566761106,0.3823566647903945,0.18372193436960282,0.056135812075748866,0.24296171095042535,0.1791097503532737,0.027645876682980502,0.2965798359525304,0.010500078505259802,-0.11880962393992894,0.06155413099077061,0.13602998900926355,0.006682669540624253,0.19623674877456138,0.11355785837651122,-0.19148563739742455,0.2993593814065186,0.22715496938294866,0.10923881325260722,0.378460528342882,0.2848759616894331,0.2186688242263707,0.3437740713949765
PTT,RTT,0.5,8,30,2129,47,0.4633465627826733,0.44969618862859717,0.47439304946520033,0.6745786725585331,0.5935718316925572,0.7292953934825401,0.5855779998431845,0.5316548378406253,0.6184531903508285,0.5161071915896054,0.459045662893442,0.5600282147330398,0.46347523145947395,0.45471076761695006,0.47195499730448615,0.4678525655954913,0.4565437545609708,0.47735643528223487,0.4697523223852548,0.4482722750694181,0.48789888074971194,0.6357476254750013,0.572529340482939,0.6914537891782269,0.6355268321857712,0.5710071458171988,0.6894053020733864,0.5126758119706942,0.46225058053899576,0.5628907147469993,0.6757701228544664,0.5924986010442568,0.734745035520456,0.656251553076737,0.6047484239593681,0.7110592776553287,0.5410393333141257,0.5054747165555834,0.559258464961484,0.6825193120666637,0.5994360161480834,0.7417943219074191,0.6431315863768992,0.5997599019042764,0.6853684935277212,0.5936332875156158,0.5289469330504232,0.6328787248645621,0.17227239401552735,0.10883799753859741,0.2265047155859031,0.1676742665902799,0.10602484565525608,0.22232371714065655,0.042923489585439456,-0.0032161052454936444,0.09604906771940425,0.2122948913949924,0.1278480238638017,0.2722646753356646,0.18839898748124567,0.13973132214069556,0.24273455755155562,0.07128701092887091,0.03414407053583951,0.09193337441247203,0.21904408060718977,0.1364752614447922,0.2779123956056013,0.17527902078140783,0.1346379413403366,0.21921442433433813,0.12388096513036106,0.05760821041551389,0.16940984558863464,-0.04677168659166242,-0.13949426017422623,0.06124080518985022,-0.007604754191127938,-0.08145290332474177,0.05480833650893472,-0.08095747554492161,-0.15983398815738056,0.018022711906620453,-0.03905184037276188,-0.1051038415854933,0.05461842238808893,0.21123210977585982,0.13130588305190224,0.27075715342146556,0.05276062880693211,-0.004555252901909268,0.09887965489092199
