Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-HS4,0.4748106060606061
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTu-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-HS4,0.6735795454545455
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-HSsrc,0.4891098484848485
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,QOTc-PCA,0.6017045454545454
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-09,none-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-HS4,0.4748106060606061
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTu-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-HS4,0.6735795454545455
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-HSsrc,0.4891098484848485
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,QOTc-PCA,0.6017045454545454
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-08,none-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-HS4,0.4748106060606061
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTu-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-HS4,0.6740530303030303
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-HSsrc,0.4891098484848485
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,QOTc-PCA,0.6017045454545454
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,1,EPS,1e-06,none-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-HS4,0.4748106060606061
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTu-PCA,0.515625
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-HS4,0.6825757575757576
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-HSsrc,0.4943181818181818
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,QOTc-PCA,0.6012310606060606
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.0001,none-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-HS4,0.48428030303030306
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTu-PCA,0.5017045454545455
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-HS4,0.6863636363636363
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-HSsrc,0.4864583333333333
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,QOTc-PCA,0.6275568181818182
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,1,EPS,0.01,none-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,COT-u,0.4893939393939394
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-HS4,0.46581439393939394
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-HSsrc,0.46392045454545455
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDMu-PCA,0.4582386363636364
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,COT-c,0.5215909090909091
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-HS4,0.4839962121212121
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-HSsrc,0.4834280303030303
Ang,Right,HTL,PTT,0,0.5,1,OTREG,0.001,SDM-PCA,0.5524621212121212
