Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,Source+Target,arc labels,,0.5031174791515084,0.08045977011494253,0.08235294117647059
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,COT,arc labels,,0.4873062069737505,0.07142857142857142,0.49411764705882355
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-HS4,arc labels,,0.4340572004253652,0.0515695067264574,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-PCA,arc segments,64.0,0.5389824816701181,0.09404388714733543,0.35294117647058826
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-HS4,arc labels,,0.43310572563944705,0.05133928571428571,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-HSsrc,arc segments,,0.48689763250685625,0.04938271604938271,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-PCA,arc segments,16.0,0.48379134717635863,0.06597222222222222,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-HS4,arc labels,,0.38181563776795213,0.04559748427672956,0.3411764705882353
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-HSsrc,arc labels,,0.4592824760732076,0.06550218340611354,0.5294117647058824
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-PCA,arc labels,64.0,0.4245368556556781,0.03761755485893417,0.1411764705882353
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-HS4,arc labels,,0.4850842335031063,0.06060606060606061,0.11764705882352941
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-HSsrc,arc labels,,0.38903565231991943,0.04332129963898917,0.2823529411764706
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-PCA,arc labels,64.0,0.46679352997145573,0.05723905723905724,0.2
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,TargetOnly,arc labels,,0.49373705714445626,0.07048458149779736,0.18823529411764706
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,Source+Target,arc labels,,0.5037667207701348,0.08080808080808081,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,COT,arc labels,,0.4728661778698159,0.06914893617021277,0.611764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-HS4,arc labels,,0.4951586724128281,0.06493506493506493,0.058823529411764705
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-PCA,arc segments,16.0,0.4277830637488107,0.044854881266490766,0.2
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-HS4,arc labels,,0.5066211451278895,0.08602150537634409,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-HSsrc,arc segments,,0.49135277326915544,0.058823529411764705,0.058823529411764705
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-PCA,arc segments,8.0,0.45338892931102037,0.05612244897959184,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-HS4,arc labels,,0.5200313426988302,0.09655172413793103,0.16470588235294117
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-HSsrc,arc labels,,0.5123747691274416,0.09090909090909091,0.12941176470588237
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-PCA,arc labels,64.0,0.5672636704539095,0.13855421686746988,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-HS4,arc labels,,0.5250069961381317,0.09574468085106383,0.21176470588235294
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-HSsrc,arc labels,,0.4049980410813231,0.050488599348534204,0.36470588235294116
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-PCA,arc labels,64.0,0.5329713997873174,0.08985507246376812,0.36470588235294116
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,TargetOnly,arc labels,,0.5066771142329434,0.07728337236533958,0.38823529411764707
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,Source+Target,arc labels,,0.4780769015503442,0.05228758169934641,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,COT,arc labels,,0.49094419880226114,0.07282913165266107,0.611764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HS4,arc labels,,0.4854760172384844,0.06493506493506493,0.17647058823529413
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-PCA,arc segments,16.0,0.40840655957911237,0.03816793893129771,0.17647058823529413
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HS4,arc labels,,0.5070968825208485,0.08695652173913043,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HSsrc,arc segments,,0.4864218951138971,0.04878048780487805,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-PCA,arc segments,8.0,0.517781384675659,0.0975609756097561,0.1411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HS4,arc labels,,0.5094755694856439,0.09195402298850575,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HSsrc,arc labels,,0.4969328930430403,0.07,0.08235294117647059
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-PCA,arc labels,64.0,0.49412884087983433,0.07167235494880546,0.24705882352941178
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-HS4,arc labels,,0.48379134717635863,0.06597222222222222,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-HSsrc,arc labels,,0.38142945094307945,0.04881450488145049,0.4117647058823529
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-PCA,arc labels,64.0,0.5705994291151284,0.1111111111111111,0.4
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,TargetOnly,arc labels,,0.581454816285998,0.09072164948453608,0.5789473684210527
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,Source+Target,arc labels,,0.4624875868917577,0.043668122270742356,0.13157894736842105
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,COT,arc labels,,0.4981380337636544,0.06642728904847396,0.4868421052631579
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,none-Ang-HS4,arc labels,,0.46087388282025815,0.05113636363636364,0.23684210526315788
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,none-Ang-HSsrc,nothing,,0.49143495531281034,0.047619047619047616,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,none-Ang-PCA,arc segments,64.0,0.5186941410129097,0.07449856733524356,0.34210526315789475
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-Ang-HS4,arc labels,,0.4771350546176763,0.04918032786885246,0.11842105263157894
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-Ang-HSsrc,arc segments,,0.4853028798411122,0.039473684210526314,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTu-Ang-PCA,arc segments,8.0,0.46904170804369416,0.04897959183673469,0.15789473684210525
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-Ang-HS4,arc labels,,0.5011668321747765,0.06728538283062645,0.3815789473684211
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-Ang-HSsrc,arc labels,,0.5650943396226416,0.07983193277310924,0.75
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,QOTc-Ang-PCA,arc labels,64.0,0.5015888778550149,0.06739130434782609,0.40789473684210525
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-Ang-HS4,arc labels,,0.4733118172790467,0.049773755656108594,0.14473684210526316
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-Ang-HSsrc,arc labels,,0.49433962264150944,0.06551724137931035,0.5
Left,contig,Ang,HTL,PTT,1,0.05,1,1136,76,114,9,SDM-Ang-PCA,arc labels,64.0,0.4284260178748759,0.038781163434903045,0.18421052631578946
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,TargetOnly,arc labels,,0.6064299900695134,0.10067114093959731,0.5921052631578947
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,Source+Target,arc labels,,0.5158391261171797,0.09302325581395349,0.10526315789473684
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,COT,arc labels,,0.47775571002979145,0.06212121212121212,0.5394736842105263
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,none-Ang-HS4,arc labels,,0.46514399205561074,0.051829268292682924,0.2236842105263158
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,none-Ang-HSsrc,nothing,,0.49143495531281034,0.047619047619047616,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,none-Ang-PCA,arc segments,64.0,0.5210526315789473,0.0755813953488372,0.34210526315789475
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-Ang-HS4,arc labels,,0.47805362462760675,0.05102040816326531,0.13157894736842105
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-Ang-HSsrc,arc segments,,0.4848311817279047,0.03896103896103896,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTu-Ang-PCA,arc segments,16.0,0.5104021847070507,0.0728744939271255,0.23684210526315788
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-Ang-HS4,arc labels,,0.4259930486593843,0.0413625304136253,0.2236842105263158
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-Ang-HSsrc,arc labels,,0.4381330685203575,0.05510752688172043,0.5394736842105263
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,QOTc-Ang-PCA,arc labels,64.0,0.5138778550148957,0.07159904534606205,0.39473684210526316
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-Ang-HS4,arc labels,,0.4577706057596822,0.04184100418410042,0.13157894736842105
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-Ang-HSsrc,arc labels,,0.49433962264150944,0.06551724137931035,0.5
Left,contig,Ang,HTL,PTT,1,0.1,1,1136,76,227,11,SDM-Ang-PCA,arc labels,64.0,0.5412859980139026,0.08459214501510574,0.3684210526315789
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,TargetOnly,arc labels,,0.48540218470705065,0.06335616438356165,0.4868421052631579
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,Source+Target,arc labels,,0.5073485600794438,0.07692307692307693,0.10526315789473684
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,COT,arc labels,,0.4977408142999007,0.06627680311890838,0.4473684210526316
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,none-Ang-HS4,arc labels,,0.4888778550148957,0.05851063829787234,0.14473684210526316
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,none-Ang-HSsrc,nothing,,0.49143495531281034,0.047619047619047616,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,none-Ang-PCA,arc segments,64.0,0.5296176762661371,0.08185053380782918,0.3026315789473684
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-Ang-HS4,arc labels,,0.4766633565044687,0.04891304347826087,0.11842105263157894
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-Ang-HSsrc,arc segments,,0.4848311817279047,0.03896103896103896,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTu-Ang-PCA,arc segments,64.0,0.4382820258192651,0.043243243243243246,0.21052631578947367
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-Ang-HS4,arc labels,,0.4195878848063555,0.029508196721311476,0.11842105263157894
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-Ang-HSsrc,arc labels,,0.5794438927507448,0.10714285714285714,0.39473684210526316
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,QOTc-Ang-PCA,arc labels,64.0,0.5174528301886793,0.07692307692307693,0.25
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-Ang-HS4,arc labels,,0.361395233366435,0.0300187617260788,0.21052631578947367
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-Ang-HSsrc,arc labels,,0.392974180734856,0.035343035343035345,0.2236842105263158
Left,contig,Ang,HTL,PTT,1,0.2,1,1136,76,454,25,SDM-Ang-PCA,arc labels,32.0,0.41956305858987086,0.03125,0.13157894736842105
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,TargetOnly,arc labels,,0.564746772591857,0.09269662921348315,0.4342105263157895
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,Source+Target,arc labels,,0.5073733862959285,0.07865168539325842,0.09210526315789473
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,COT,arc labels,,0.5373386295928501,0.07882882882882883,0.4605263157894737
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,none-Ang-HS4,arc labels,,0.46482125124131085,0.04602510460251046,0.14473684210526316
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,none-Ang-HSsrc,nothing,,0.49143495531281034,0.047619047619047616,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,none-Ang-PCA,arc segments,64.0,0.5394240317775572,0.084375,0.35526315789473684
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-Ang-HS4,arc labels,,0.4888778550148957,0.05851063829787234,0.14473684210526316
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-Ang-HSsrc,arc segments,,0.4843594836146971,0.038461538461538464,0.039473684210526314
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-Ang-PCA,arc segments,8.0,0.516261171797418,0.08695652173913043,0.13157894736842105
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-Ang-HS4,arc labels,,0.45685203574975175,0.03982300884955752,0.11842105263157894
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-Ang-HSsrc,arc labels,,0.49746772591856997,0.06363636363636363,0.09210526315789473
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-Ang-PCA,arc labels,64.0,0.4640268123138034,0.033112582781456956,0.06578947368421052
Left,contig,Ang,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-Ang-HS4,arc labels,,0.4628599801390268,0.04861111111111111,0.18421052631578946
