Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTc-Ang-HSsrc,0.4850378787878788
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTc-Ang-PCA,0.5074810606060606
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-HS4,0.5034090909090909
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-HSsrc,0.4883522727272727
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-PCA,0.45530303030303027
Ang,Right,HTL,PTT,0,0.2,srcperm,COT-u,0.5586174242424242
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-HS4,0.5538825757575758
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-HSsrc,0.5995265151515151
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-PCA,0.41638257575757576
Ang,Right,HTL,PTT,0,0.2,arcperm,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.2,arcperm,TargetOnly,0.4453598484848485
Ang,Right,HTL,PTT,0,0.2,arcperm,Source+Target,0.5267045454545455
Ang,Right,HTL,PTT,0,0.2,arcperm,COT,0.446875
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-HS4,0.4934659090909091
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-PCA,0.4558712121212121
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTu-Ang-HS4,0.5657196969696969
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTu-Ang-HSsrc,0.5652462121212121
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTu-Ang-PCA,0.5605113636363637
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTc-Ang-HS4,0.5190340909090909
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTc-Ang-HSsrc,0.4289772727272727
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTc-Ang-PCA,0.49943181818181814
Ang,Right,HTL,PTT,0,0.2,arcperm,SDM-Ang-HS4,0.40861742424242425
Ang,Right,HTL,PTT,0,0.2,arcperm,SDM-Ang-HSsrc,0.39943181818181817
Ang,Right,HTL,PTT,0,0.2,arcperm,SDM-Ang-PCA,0.4859848484848485
Ang,Right,HTL,PTT,0,0.2,arcperm,COT-u,0.4850378787878788
Ang,Right,HTL,PTT,0,0.2,arcperm,SDMu-HS4,0.478030303030303
Ang,Right,HTL,PTT,0,0.2,arcperm,SDMu-HSsrc,0.5695075757575757
Ang,Right,HTL,PTT,0,0.2,arcperm,SDMu-PCA,0.49640151515151515
Ang,Right,HTL,PTT,0,0.5,real,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.5,real,TargetOnly,0.5306818181818181
Ang,Right,HTL,PTT,0,0.5,real,Source+Target,0.5060606060606061
Ang,Right,HTL,PTT,0,0.5,real,COT,0.471969696969697
Ang,Right,HTL,PTT,0,0.5,real,none-Ang-HS4,0.4983901515151515
Ang,Right,HTL,PTT,0,0.5,real,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,real,none-Ang-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,real,QOTu-Ang-HS4,0.4748106060606061
Ang,Right,HTL,PTT,0,0.5,real,QOTu-Ang-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,real,QOTu-Ang-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,real,QOTc-Ang-HS4,0.6735795454545455
Ang,Right,HTL,PTT,0,0.5,real,QOTc-Ang-HSsrc,0.4891098484848485
Ang,Right,HTL,PTT,0,0.5,real,QOTc-Ang-PCA,0.6017045454545454
Ang,Right,HTL,PTT,0,0.5,real,SDM-Ang-HS4,0.48352272727272727
Ang,Right,HTL,PTT,0,0.5,real,SDM-Ang-HSsrc,0.4824810606060606
Ang,Right,HTL,PTT,0,0.5,real,SDM-Ang-PCA,0.5121212121212121
Ang,Right,HTL,PTT,0,0.5,real,COT-u,0.4925189393939394
Ang,Right,HTL,PTT,0,0.5,real,SDMu-HS4,0.4857007575757576
Ang,Right,HTL,PTT,0,0.5,real,SDMu-HSsrc,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,real,SDMu-PCA,0.4510416666666667
Ang,Right,HTL,PTT,0,0.5,srcperm,NoAdapt,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,srcperm,TargetOnly,0.5306818181818181
Ang,Right,HTL,PTT,0,0.5,srcperm,Source+Target,0.571780303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,COT,0.4709280303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-HS4,0.5540719696969697
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-HSsrc,0.5743371212121212
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-PCA,0.6020833333333333
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-HS4,0.5535984848484848
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-HSsrc,0.5478219696969697
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-PCA,0.5553977272727273
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-HS4,0.6868371212121211
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-HSsrc,0.5637310606060606
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-PCA,0.6271780303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-HS4,0.4897727272727273
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-HSsrc,0.590625
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-PCA,0.4803030303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,COT-u,0.43333333333333335
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-HS4,0.4508522727272727
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-HSsrc,0.5529356060606061
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-PCA,0.5284090909090909
Ang,Right,HTL,PTT,0,0.5,arcperm,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.5,arcperm,TargetOnly,0.4739583333333333
Ang,Right,HTL,PTT,0,0.5,arcperm,Source+Target,0.5012310606060606
Ang,Right,HTL,PTT,0,0.5,arcperm,COT,0.4114583333333333
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-HS4,0.4878787878787879
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-HS4,0.4696969696969697
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-HSsrc,0.47490530303030304
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-PCA,0.5137310606060606
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-HS4,0.46259469696969696
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-HSsrc,0.4866477272727273
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTc-Ang-PCA,0.46126893939393937
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-HS4,0.4678030303030303
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-HSsrc,0.46392045454545455
Ang,Right,HTL,PTT,0,0.5,arcperm,SDM-Ang-PCA,0.44024621212121207
Ang,Right,HTL,PTT,0,0.5,arcperm,COT-u,0.4925189393939394
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-HS4,0.4678030303030303
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-HSsrc,0.46732954545454547
Ang,Right,HTL,PTT,0,0.5,arcperm,SDMu-PCA,0.4510416666666667
Ang,Right,HTL,PTT,0,0.5,srcperm,NoAdapt,0.6189393939393939
Ang,Right,HTL,PTT,0,0.5,srcperm,TargetOnly,0.5306818181818181
Ang,Right,HTL,PTT,0,0.5,srcperm,Source+Target,0.6463068181818181
Ang,Right,HTL,PTT,0,0.5,srcperm,COT,0.4804924242424243
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-HS4,0.4993371212121212
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-HSsrc,0.49706439393939394
Ang,Right,HTL,PTT,0,0.5,srcperm,none-Ang-PCA,0.537405303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-HS4,0.5703598484848484
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-HSsrc,0.5597537878787878
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTu-Ang-PCA,0.4491477272727272
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-HS4,0.687310606060606
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-HSsrc,0.5631628787878789
Ang,Right,HTL,PTT,0,0.5,srcperm,QOTc-Ang-PCA,0.6050189393939394
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-HS4,0.48352272727272727
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-HSsrc,0.5647727272727273
Ang,Right,HTL,PTT,0,0.5,srcperm,SDM-Ang-PCA,0.4894886363636364
Ang,Right,HTL,PTT,0,0.5,srcperm,COT-u,0.493655303030303
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-HS4,0.5803977272727273
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-HSsrc,0.5651515151515152
Ang,Right,HTL,PTT,0,0.5,srcperm,SDMu-PCA,0.5827651515151515
Ang,Right,HTL,PTT,0,0.5,arcperm,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.5,arcperm,TargetOnly,0.4575757575757576
Ang,Right,HTL,PTT,0,0.5,arcperm,Source+Target,0.4954545454545455
Ang,Right,HTL,PTT,0,0.5,arcperm,COT,0.415530303030303
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-HS4,0.4888257575757576
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.5,arcperm,none-Ang-PCA,0.4486742424242424
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-HS4,0.46922348484848486
Ang,Right,HTL,PTT,0,0.5,arcperm,QOTu-Ang-HSsrc,0.47490530303030304
