Side,alpha,Source,Target,Rot,AdaptFrac,Method,BAC
Right,0.01,HTL,WRM,4,0.05,QOTu-HSsrc,0.6387867647058824
Right,0.01,HTL,WRM,4,0.05,none-HSsrc,0.5174632352941176
Right,0.01,HTL,WRM,4,0.5,QOTu-HSsrc,0.5971638655462185
Right,0.01,HTL,WRM,4,0.5,none-HSsrc,0.5174632352941176
Right,0.01,HTL,WRM,5,0.05,QOTu-HSsrc,0.6047794117647058
Right,0.01,HTL,WRM,5,0.05,none-HSsrc,0.5153623949579832
Right,0.01,HTL,WRM,5,0.5,QOTu-HSsrc,0.625
Right,0.01,HTL,WRM,5,0.5,none-HSsrc,0.5153623949579832
Right,0.01,HTL,WRM,6,0.05,QOTu-HSsrc,0.6468006468006469
Right,0.01,HTL,WRM,6,0.05,none-HSsrc,0.5191730191730192
Right,0.01,HTL,WRM,6,0.5,QOTu-HSsrc,0.6476476476476476
Right,0.01,HTL,WRM,6,0.5,none-HSsrc,0.5191730191730192
Right,0.01,HTL,WRM,7,0.05,QOTu-HSsrc,0.6426041426041426
Right,0.01,HTL,WRM,7,0.05,none-HSsrc,0.5170940170940171
Right,0.01,HTL,WRM,7,0.5,QOTu-HSsrc,0.6235466235466236
Right,0.01,HTL,WRM,7,0.5,none-HSsrc,0.5170940170940171
Right,0.01,PTT,HTL,0,0.05,QOTu-HSsrc,0.48090450340240076
Right,0.01,PTT,HTL,0,0.05,none-HSsrc,0.4551571221041364
Right,0.01,PTT,HTL,0,0.5,QOTu-HSsrc,0.48944873461273797
Right,0.01,PTT,HTL,0,0.5,none-HSsrc,0.4551571221041364
Right,0.01,PTT,HTL,1,0.05,QOTu-HSsrc,0.5317337461300309
Right,0.01,PTT,HTL,1,0.05,none-HSsrc,0.46693657219973006
Right,0.01,PTT,HTL,1,0.5,QOTu-HSsrc,0.4968047947924109
Right,0.01,PTT,HTL,1,0.5,none-HSsrc,0.46693657219973006
