Enc,Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Ang,Right,contig,HTL,PTT,2,0.2,1136,67,454,COT-u,arc segments,0.49796852966225935,0.05847953216374269,0.44776119402985076
Ang,Right,contig,HTL,PTT,2,0.2,1136,67,454,SDMu-HS4,arc labels,0.3749703307596722,0.018134715025906734,0.1044776119402985
Ang,Right,contig,HTL,PTT,2,0.2,1136,67,454,SDMu-HSsrc,arc segments,0.4516356477667788,0.03515625,0.13432835820895522
Ang,Right,contig,HTL,PTT,2,0.2,1136,67,454,SDMu-PCA,arc segments,0.4535484411432082,0.03211009174311927,0.1044776119402985
Ang,Right,contig,HTL,PTT,2,0.3,1136,67,682,COT-u,arc segments,0.4915460117560002,0.05647058823529412,0.3582089552238806
Ang,Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-HS4,arc labels,0.4549725646789439,0.030303030303030304,0.08955223880597014
Ang,Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-HSsrc,arc segments,0.4563338592351619,0.034934497816593885,0.11940298507462686
Ang,Right,contig,HTL,PTT,2,0.3,1136,67,682,SDMu-PCA,arc segments,0.4586934364659397,0.033816425120772944,0.1044776119402985
Ang,Right,contig,HTL,PTT,2,0.5,1136,67,1112,COT-u,arc segments,0.488781536657219,0.055415617128463476,0.3283582089552239
Ang,Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-HS4,arc labels,0.450316239196906,0.02617801047120419,0.07462686567164178
Ang,Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-HSsrc,arc segments,0.4657093391787554,0.036458333333333336,0.1044776119402985
Ang,Right,contig,HTL,PTT,2,0.5,1136,67,1112,SDMu-PCA,arc segments,0.3881085684766067,0.015432098765432098,0.07462686567164178
Ang,Right,contig,HTL,PTT,3,0.05,1136,53,114,COT-u,arc segments,0.46167180612902664,0.03993055555555555,0.4339622641509434
Ang,Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-HS4,arc labels,0.4785187895259499,0.03669724770642202,0.1509433962264151
Ang,Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-HSsrc,arc segments,0.4324291363961045,0.03058823529411765,0.24528301886792453
Ang,Right,contig,HTL,PTT,3,0.05,1136,53,114,SDMu-PCA,arc segments,0.5931897768253802,0.0748502994011976,0.4716981132075472
Ang,Right,contig,HTL,PTT,3,0.1,1136,53,227,COT-u,arc segments,0.4391714141361348,0.03525046382189239,0.3584905660377358
Ang,Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-HS4,arc labels,0.47488632206135994,0.03278688524590164,0.11320754716981132
Ang,Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-HSsrc,arc segments,0.44027770518650156,0.031862745098039214,0.24528301886792453
Ang,Right,contig,HTL,PTT,3,0.1,1136,53,227,SDMu-PCA,arc segments,0.4527430791477204,0.03412073490813648,0.24528301886792453
Ang,Right,contig,HTL,PTT,3,0.2,1136,53,454,COT-u,arc segments,0.44366626596282166,0.03739837398373984,0.4339622641509434
Ang,Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-HS4,arc labels,0.4537099949476472,0.021505376344086023,0.07547169811320754
Ang,Right,contig,HTL,PTT,3,0.2,1136,53,454,SDMu-HSsrc,arc segments,0.42147075733026707,0.024793388429752067,0.16981132075471697
